# Frequency,Velocity,Velstd 
#  coords,(0.0, -12.0),(0.45, 23.759999999999998)
2.500,348.689,0.769
2.517,347.930,0.409
2.533,347.177,0.402
2.550,346.432,0.396
2.567,345.694,0.390
2.583,344.964,0.388
2.600,344.240,0.388
2.617,343.523,0.388
2.633,342.814,0.388
2.650,342.111,0.388
2.667,341.414,0.388
2.683,340.724,0.388
2.700,340.041,0.388
2.717,339.363,0.388
2.733,338.692,0.388
2.750,338.027,0.388
2.767,337.368,0.388
2.783,336.715,0.388
2.800,336.068,0.388
2.817,335.427,0.388
2.833,334.791,0.388
2.850,334.161,0.388
2.867,333.537,0.388
2.883,332.917,0.388
2.900,332.304,0.388
2.917,331.695,0.388
2.933,331.092,0.388
2.950,330.494,0.388
2.967,329.901,0.388
2.983,329.312,0.388
3.000,328.729,0.388
3.017,328.151,0.388
3.033,327.577,0.388
3.050,327.008,0.388
3.067,326.444,0.388
3.083,325.884,0.388
3.100,325.329,0.388
3.117,324.779,0.388
3.133,324.233,0.388
3.150,323.691,0.388
3.167,323.154,0.388
3.183,322.620,0.388
3.200,322.091,0.388
3.217,321.566,0.388
3.233,321.045,0.388
3.250,320.529,0.388
3.267,320.016,0.388
3.283,319.507,0.388
3.300,319.002,0.388
3.317,318.500,0.388
3.333,318.003,0.388
3.350,317.509,0.388
3.367,317.019,0.388
3.383,316.532,0.388
3.400,316.049,0.388
3.417,315.570,0.388
3.433,315.094,0.388
3.450,314.622,0.388
3.467,314.153,0.388
3.483,313.687,0.388
3.500,313.225,0.388
3.517,312.766,0.388
3.533,312.310,0.388
3.550,311.857,0.388
3.567,311.408,0.388
3.583,310.961,0.388
3.600,310.518,0.388
3.617,310.078,0.388
3.633,309.641,0.388
3.650,309.207,0.388
3.667,308.775,0.388
3.683,308.347,0.388
3.700,307.922,0.388
3.717,307.499,0.388
3.733,307.079,0.388
3.750,306.662,0.388
3.767,306.248,0.388
3.783,305.837,0.388
3.800,305.428,0.388
3.817,305.022,0.388
3.833,304.619,0.388
3.850,304.218,0.388
3.867,303.821,0.388
3.883,303.425,0.388
3.900,303.033,0.388
3.917,302.642,0.388
3.933,302.255,0.388
3.950,301.869,0.388
3.967,301.487,0.388
3.983,301.106,0.388
4.000,300.728,0.388
4.017,300.352,0.388
4.033,299.978,0.388
4.050,299.607,0.388
4.067,299.238,0.388
4.083,298.872,0.388
4.100,298.507,0.388
4.117,298.145,0.388
4.133,297.785,0.388
4.150,297.428,0.388
4.167,297.072,0.388
4.183,296.718,0.388
4.200,296.367,0.388
4.217,296.018,0.388
4.233,295.670,0.388
4.250,295.325,0.388
4.267,294.982,0.388
4.283,294.640,0.388
