# Frequency,Velocity,Velstd 
#  coords,(1.45, 11.84),(24.15, -0.08000000000000007)
2.000,247.340,0.769
2.017,246.902,0.409
2.033,246.470,0.402
2.050,246.043,0.396
2.067,245.622,0.390
2.083,245.205,0.388
2.100,244.793,0.388
2.117,244.386,0.388
2.133,243.984,0.388
2.150,243.586,0.388
2.167,243.193,0.388
2.183,242.805,0.388
2.200,242.421,0.388
2.217,242.041,0.388
2.233,241.665,0.388
2.250,241.294,0.388
2.267,240.927,0.388
2.283,240.564,0.388
2.300,240.205,0.388
2.317,239.850,0.388
2.333,239.499,0.388
2.350,239.151,0.388
2.367,238.807,0.388
2.383,238.466,0.388
2.400,238.129,0.388
2.417,237.796,0.388
2.433,237.466,0.388
2.450,237.140,0.388
2.467,236.816,0.388
2.483,236.496,0.388
2.500,236.180,0.388
2.517,235.866,0.388
2.533,235.555,0.388
2.550,235.247,0.388
2.567,234.943,0.388
2.583,234.642,0.388
2.600,234.343,0.388
2.617,234.047,0.388
2.633,233.754,0.388
2.650,233.464,0.388
2.667,233.177,0.388
2.683,232.892,0.388
2.700,232.610,0.388
2.717,232.330,0.388
2.733,232.053,0.388
2.750,231.779,0.388
2.767,231.508,0.388
2.783,231.239,0.388
2.800,230.972,0.388
2.817,230.708,0.388
2.833,230.446,0.388
2.850,230.185,0.388
2.867,229.928,0.388
2.883,229.672,0.388
2.900,229.419,0.388
2.917,229.168,0.388
2.933,228.919,0.388
2.950,228.672,0.388
2.967,228.428,0.388
2.983,228.185,0.388
3.000,227.945,0.388
3.017,227.707,0.388
3.033,227.471,0.388
3.050,227.236,0.388
3.067,227.003,0.388
3.083,226.772,0.388
3.100,226.543,0.388
3.117,226.316,0.388
3.133,226.091,0.388
3.150,225.868,0.388
3.167,225.646,0.388
3.183,225.426,0.388
3.200,225.208,0.388
3.217,224.991,0.388
3.233,224.776,0.388
3.250,224.563,0.388
3.267,224.351,0.388
3.283,224.142,0.388
3.300,223.933,0.388
3.317,223.727,0.388
3.333,223.522,0.388
3.350,223.318,0.388
3.367,223.116,0.388
3.383,222.915,0.388
3.400,222.715,0.388
3.417,222.517,0.388
3.433,222.321,0.388
3.450,222.125,0.388
3.467,221.931,0.388
3.483,221.739,0.388
3.500,221.547,0.388
3.517,221.358,0.388
