# Frequency,Velocity,Velstd 
#  coords,(23.25, 23.759999999999998),(24.15, 11.84)
4.000,229.191,0.769
4.017,229.052,0.409
4.033,228.913,0.402
4.050,228.775,0.396
4.067,228.638,0.390
4.083,228.501,0.388
4.100,228.366,0.388
4.117,228.231,0.388
4.133,228.097,0.388
4.150,227.964,0.388
4.167,227.832,0.388
4.183,227.700,0.388
4.200,227.569,0.388
4.217,227.439,0.388
4.233,227.310,0.388
4.250,227.182,0.388
4.267,227.054,0.388
4.283,226.927,0.388
4.300,226.801,0.388
4.317,226.675,0.388
4.333,226.551,0.388
4.350,226.427,0.388
4.367,226.303,0.388
4.383,226.181,0.388
4.400,226.059,0.388
4.417,225.938,0.388
4.433,225.817,0.388
4.450,225.697,0.388
4.467,225.578,0.388
4.483,225.459,0.388
4.500,225.341,0.388
4.517,225.224,0.388
4.533,225.108,0.388
4.550,224.992,0.388
4.567,224.876,0.388
4.583,224.762,0.388
4.600,224.648,0.388
4.617,224.534,0.388
4.633,224.421,0.388
4.650,224.309,0.388
4.667,224.198,0.388
4.683,224.087,0.388
4.700,223.977,0.388
4.717,223.867,0.388
4.733,223.758,0.388
4.750,223.649,0.388
4.767,223.541,0.388
4.783,223.434,0.388
4.800,223.327,0.388
4.817,223.220,0.388
4.833,223.115,0.388
4.850,223.009,0.388
4.867,222.905,0.388
4.883,222.801,0.388
4.900,222.697,0.388
4.917,222.594,0.388
4.933,222.492,0.388
4.950,222.389,0.388
4.967,222.288,0.388
4.983,222.187,0.388
5.000,222.086,0.388
5.017,221.986,0.388
5.033,221.887,0.388
5.050,221.788,0.388
5.067,221.689,0.388
5.083,221.592,0.388
5.100,221.494,0.388
5.117,221.397,0.388
5.133,221.301,0.388
5.150,221.205,0.388
5.167,221.109,0.388
5.183,221.014,0.388
5.200,220.919,0.388
5.217,220.825,0.388
5.233,220.732,0.388
5.250,220.638,0.388
5.267,220.546,0.388
5.283,220.454,0.388
5.300,220.362,0.388
5.317,220.270,0.388
5.333,220.179,0.388
5.350,220.089,0.388
5.367,219.998,0.388
5.383,219.909,0.388
5.400,219.819,0.388
5.417,219.730,0.388
5.433,219.642,0.388
5.450,219.553,0.388
5.467,219.466,0.388
5.483,219.378,0.388
5.500,219.291,0.388
5.517,219.205,0.388
5.533,219.119,0.388
5.550,219.033,0.388
5.567,218.948,0.388
5.583,218.863,0.388
5.600,218.778,0.388
5.617,218.694,0.388
5.633,218.610,0.388
5.650,218.526,0.388
5.667,218.443,0.388
5.683,218.360,0.388
5.700,218.278,0.388
5.717,218.195,0.388
5.733,218.114,0.388
5.750,218.033,0.388
5.767,217.952,0.388
5.783,217.871,0.388
5.800,217.791,0.388
5.817,217.711,0.388
5.833,217.631,0.388
5.850,217.552,0.388
5.867,217.473,0.388
5.883,217.394,0.388
5.900,217.316,0.388
5.917,217.238,0.388
5.933,217.160,0.388
5.950,217.083,0.388
5.967,217.006,0.388
5.983,216.929,0.388
6.000,216.853,0.388
6.017,216.777,0.388
6.033,216.701,0.388
6.050,216.626,0.388
6.067,216.551,0.388
6.083,216.476,0.388
6.100,216.401,0.388
6.117,216.327,0.388
6.133,216.253,0.388
6.150,216.180,0.388
6.167,216.106,0.388
6.183,216.033,0.388
6.200,215.960,0.388
6.217,215.888,0.388
6.233,215.816,0.388
6.250,215.744,0.388
6.267,215.672,0.388
6.283,215.601,0.388
6.300,215.529,0.388
6.317,215.459,0.388
6.333,215.388,0.388
6.350,215.318,0.388
6.367,215.248,0.388
6.383,215.178,0.388
6.400,215.108,0.388
6.417,215.039,0.388
6.433,214.970,0.388
6.450,214.902,0.388
6.467,214.833,0.388
6.483,214.765,0.388
6.500,214.697,0.388
6.517,214.629,0.388
6.533,214.562,0.388
6.550,214.495,0.388
6.567,214.428,0.388
6.583,214.361,0.388
6.600,214.295,0.388
6.617,214.228,0.388
6.633,214.162,0.388
6.650,214.097,0.388
6.667,214.031,0.388
6.683,213.966,0.388
6.700,213.901,0.388
6.717,213.836,0.388
6.733,213.772,0.388
6.750,213.708,0.388
6.767,213.644,0.388
6.783,213.580,0.388
6.800,213.516,0.388
6.817,213.453,0.388
6.833,213.390,0.388
6.850,213.327,0.388
6.867,213.264,0.388
6.883,213.202,0.388
6.900,213.140,0.388
6.917,213.078,0.388
6.933,213.016,0.388
6.950,212.954,0.388
6.967,212.893,0.388
6.983,212.832,0.388
7.000,212.771,0.388
7.017,212.710,0.388
7.033,212.650,0.388
7.050,212.590,0.388
7.067,212.530,0.388
7.083,212.470,0.388
7.100,212.411,0.388
7.117,212.351,0.388
7.133,212.292,0.388
7.150,212.233,0.388
7.167,212.175,0.388
7.183,212.116,0.388
7.200,212.058,0.388
7.217,211.999,0.388
7.233,211.941,0.388
7.250,211.884,0.388
7.267,211.826,0.388
7.283,211.769,0.388
7.300,211.712,0.388
7.317,211.655,0.388
7.333,211.598,0.388
7.350,211.541,0.388
7.367,211.485,0.388
7.383,211.429,0.388
7.400,211.373,0.388
7.417,211.317,0.388
7.433,211.262,0.388
7.450,211.207,0.388
7.467,211.152,0.388
7.483,211.097,0.388
7.500,211.042,0.388
7.517,210.988,0.388
7.533,210.933,0.388
7.550,210.879,0.388
7.567,210.825,0.388
7.583,210.771,0.388
7.600,210.718,0.388
7.617,210.664,0.388
7.633,210.611,0.388
7.650,210.558,0.388
7.667,210.505,0.388
7.683,210.452,0.388
7.700,210.399,0.388
7.717,210.347,0.388
7.733,210.295,0.388
7.750,210.243,0.388
7.767,210.191,0.388
7.783,210.139,0.388
7.800,210.087,0.388
7.817,210.036,0.388
7.833,209.985,0.388
7.850,209.934,0.388
7.867,209.883,0.388
7.883,209.832,0.388
7.900,209.782,0.388
7.917,209.731,0.388
7.933,209.681,0.388
7.950,209.631,0.388
7.967,209.581,0.388
