# Frequency,Velocity,Velstd 
#  coords,(13.6, -20.2),(13.7, -12.0)
8.600,196.764,0.769
8.617,196.600,0.409
8.633,196.436,0.402
8.650,196.273,0.396
8.667,196.110,0.390
8.683,195.947,0.388
8.700,195.785,0.388
8.717,195.624,0.388
8.733,195.463,0.388
8.750,195.302,0.388
8.767,195.142,0.388
8.783,194.982,0.388
8.800,194.823,0.388
8.817,194.664,0.388
8.833,194.506,0.388
8.850,194.348,0.388
8.867,194.190,0.388
8.883,194.033,0.388
8.900,193.876,0.388
8.917,193.720,0.388
8.933,193.564,0.388
8.950,193.408,0.388
8.967,193.253,0.388
8.983,193.098,0.388
9.000,192.944,0.388
9.017,192.790,0.388
9.033,192.637,0.388
9.050,192.484,0.388
9.067,192.332,0.388
9.083,192.180,0.388
9.100,192.028,0.388
9.117,191.877,0.388
9.133,191.726,0.388
9.150,191.575,0.388
9.167,191.425,0.388
9.183,191.276,0.388
9.200,191.126,0.388
9.217,190.977,0.388
9.233,190.829,0.388
9.250,190.681,0.388
9.267,190.533,0.388
9.283,190.386,0.388
9.300,190.240,0.388
9.317,190.093,0.388
9.333,189.947,0.388
9.350,189.801,0.388
9.367,189.656,0.388
9.383,189.511,0.388
9.400,189.367,0.388
9.417,189.223,0.388
9.433,189.079,0.388
9.450,188.936,0.388
9.467,188.793,0.388
9.483,188.651,0.388
9.500,188.509,0.388
9.517,188.367,0.388
9.533,188.226,0.388
9.550,188.085,0.388
9.567,187.945,0.388
9.583,187.805,0.388
9.600,187.665,0.388
9.617,187.526,0.388
9.633,187.387,0.388
9.650,187.249,0.388
9.667,187.110,0.388
9.683,186.973,0.388
9.700,186.835,0.388
9.717,186.698,0.388
9.733,186.561,0.388
9.750,186.424,0.388
9.767,186.288,0.388
9.783,186.152,0.388
9.800,186.017,0.388
9.817,185.882,0.388
9.833,185.747,0.388
9.850,185.612,0.388
9.867,185.478,0.388
9.883,185.345,0.388
9.900,185.212,0.388
9.917,185.079,0.388
9.933,184.946,0.388
9.950,184.814,0.388
9.967,184.682,0.388
9.983,184.550,0.388
10.000,184.419,0.388
10.017,184.288,0.388
10.033,184.157,0.388
10.050,184.027,0.388
10.067,183.897,0.388
10.083,183.768,0.388
10.100,183.639,0.388
10.117,183.510,0.388
10.133,183.381,0.388
10.150,183.253,0.388
10.167,183.125,0.388
10.183,182.997,0.388
10.200,182.870,0.388
10.217,182.743,0.388
10.233,182.617,0.388
10.250,182.491,0.388
10.267,182.365,0.388
10.283,182.239,0.388
10.300,182.114,0.388
10.317,181.988,0.388
10.333,181.864,0.388
10.350,181.739,0.388
10.367,181.615,0.388
10.383,181.491,0.388
10.400,181.367,0.388
10.417,181.244,0.388
10.433,181.121,0.388
10.450,180.998,0.388
10.467,180.876,0.388
10.483,180.754,0.388
10.500,180.632,0.388
10.517,180.510,0.388
10.533,180.389,0.388
10.550,180.268,0.388
10.567,180.147,0.388
10.583,180.027,0.388
10.600,179.907,0.388
10.617,179.788,0.388
10.633,179.668,0.388
10.650,179.549,0.388
10.667,179.430,0.388
10.683,179.312,0.388
10.700,179.193,0.388
10.717,179.075,0.388
10.733,178.957,0.388
10.750,178.840,0.388
10.767,178.723,0.388
10.783,178.606,0.388
10.800,178.489,0.388
10.817,178.372,0.388
10.833,178.256,0.388
10.850,178.140,0.388
10.867,178.025,0.388
10.883,177.909,0.388
10.900,177.794,0.388
10.917,177.679,0.388
10.933,177.564,0.388
10.950,177.450,0.388
10.967,177.336,0.388
10.983,177.222,0.388
11.000,177.108,0.388
11.017,176.994,0.388
11.033,176.881,0.388
11.050,176.768,0.388
11.067,176.656,0.388
11.083,176.544,0.388
11.100,176.431,0.388
11.117,176.320,0.388
11.133,176.208,0.388
11.150,176.097,0.388
11.167,175.986,0.388
11.183,175.875,0.388
11.200,175.764,0.388
11.217,175.653,0.388
11.233,175.543,0.388
11.250,175.433,0.388
11.267,175.324,0.388
11.283,175.214,0.388
11.300,175.105,0.388
11.317,174.996,0.388
11.333,174.887,0.388
11.350,174.779,0.388
11.367,174.670,0.388
11.383,174.562,0.388
