# Frequency,Velocity,Velstd 
#  coords,(10.0, -12.0),(20.0, -12.0)
7.200,211.170,0.769
7.217,210.878,0.408
7.233,210.588,0.402
7.250,210.298,0.396
7.267,210.008,0.390
7.283,209.720,0.388
7.300,209.433,0.388
7.317,209.147,0.388
7.333,208.863,0.388
7.350,208.579,0.388
7.367,208.296,0.388
7.383,208.015,0.388
7.400,207.734,0.388
7.417,207.454,0.388
7.433,207.175,0.388
7.450,206.897,0.388
7.467,206.620,0.388
7.483,206.344,0.388
7.500,206.069,0.388
7.517,205.794,0.388
7.533,205.521,0.388
7.550,205.248,0.388
7.567,204.976,0.388
7.583,204.705,0.388
7.600,204.435,0.388
7.617,204.166,0.388
7.633,203.898,0.388
7.650,203.631,0.388
7.667,203.365,0.388
7.683,203.099,0.388
7.700,202.834,0.388
7.717,202.570,0.388
7.733,202.307,0.388
7.750,202.045,0.388
7.767,201.783,0.388
7.783,201.522,0.388
7.800,201.262,0.388
7.817,201.003,0.388
7.833,200.745,0.388
7.850,200.487,0.388
7.867,200.231,0.388
7.883,199.975,0.388
7.900,199.720,0.388
7.917,199.466,0.388
7.933,199.213,0.388
7.950,198.961,0.388
7.967,198.709,0.388
7.983,198.459,0.388
8.000,198.209,0.388
8.017,197.961,0.388
8.033,197.712,0.388
8.050,197.465,0.388
8.067,197.217,0.388
8.083,196.971,0.388
8.100,196.725,0.388
8.117,196.480,0.388
8.133,196.236,0.388
8.150,195.993,0.388
8.167,195.750,0.388
8.183,195.509,0.388
8.200,195.267,0.388
8.217,195.027,0.388
8.233,194.787,0.388
8.250,194.548,0.388
8.267,194.311,0.388
8.283,194.074,0.388
8.300,193.838,0.388
8.317,193.603,0.388
8.333,193.368,0.388
8.350,193.134,0.388
8.367,192.900,0.388
8.383,192.666,0.388
8.400,192.434,0.388
8.417,192.202,0.388
8.433,191.971,0.388
8.450,191.740,0.388
8.467,191.511,0.388
8.483,191.282,0.388
8.500,191.054,0.388
8.517,190.827,0.388
8.533,190.600,0.388
8.550,190.374,0.388
8.567,190.148,0.388
8.583,189.924,0.388
8.600,189.700,0.388
8.617,189.477,0.388
8.633,189.254,0.388
8.650,189.032,0.388
8.667,188.811,0.388
8.683,188.590,0.388
8.700,188.370,0.388
8.717,188.151,0.388
8.733,187.932,0.388
8.750,187.713,0.388
8.767,187.496,0.388
8.783,187.278,0.388
8.800,187.062,0.388
8.817,186.845,0.388
8.833,186.630,0.388
8.850,186.415,0.388
8.867,186.201,0.388
8.883,185.988,0.388
8.900,185.776,0.388
8.917,185.565,0.388
8.933,185.354,0.388
8.950,185.143,0.388
8.967,184.933,0.388
8.983,184.724,0.388
9.000,184.515,0.388
9.017,184.307,0.388
9.033,184.100,0.388
9.050,183.893,0.388
9.067,183.687,0.388
9.083,183.481,0.388
9.100,183.275,0.388
9.117,183.070,0.388
9.133,182.866,0.388
9.150,182.663,0.388
9.167,182.459,0.388
9.183,182.256,0.388
9.200,182.054,0.388
9.217,181.853,0.388
9.233,181.652,0.388
9.250,181.452,0.388
9.267,181.253,0.388
9.283,181.054,0.388
9.300,180.856,0.388
9.317,180.657,0.388
9.333,180.460,0.388
9.350,180.263,0.388
9.367,180.066,0.388
9.383,179.870,0.388
9.400,179.675,0.388
9.417,179.480,0.388
9.433,179.286,0.388
9.450,179.092,0.388
9.467,178.899,0.388
9.483,178.706,0.388
9.500,178.513,0.388
9.517,178.321,0.388
9.533,178.130,0.388
9.550,177.939,0.388
9.567,177.749,0.388
9.583,177.559,0.388
9.600,177.369,0.388
9.617,177.180,0.388
9.633,176.992,0.388
9.650,176.804,0.388
9.667,176.616,0.388
9.683,176.429,0.388
9.700,176.243,0.388
9.717,176.057,0.388
9.733,175.872,0.388
9.750,175.687,0.388
9.767,175.503,0.388
9.783,175.318,0.388
9.800,175.135,0.388
9.817,174.951,0.388
9.833,174.769,0.388
9.850,174.587,0.388
9.867,174.405,0.388
9.883,174.223,0.388
9.900,174.042,0.388
9.917,173.862,0.388
9.933,173.682,0.388
9.950,173.502,0.388
9.967,173.323,0.388
9.983,173.145,0.388
10.000,172.966,0.388
10.017,172.788,0.388
10.033,172.611,0.388
10.050,172.434,0.388
10.067,172.257,0.388
10.083,172.081,0.388
10.100,171.905,0.388
10.117,171.729,0.388
10.133,171.554,0.388
10.150,171.379,0.388
10.167,171.205,0.388
10.183,171.031,0.388
10.200,170.858,0.388
10.217,170.685,0.388
10.233,170.513,0.388
10.250,170.340,0.388
10.267,170.169,0.388
10.283,169.997,0.388
10.300,169.826,0.388
10.317,169.656,0.388
10.333,169.486,0.388
10.350,169.316,0.388
10.367,169.147,0.388
10.383,168.978,0.388
10.400,168.810,0.388
10.417,168.642,0.388
10.433,168.474,0.388
10.450,168.307,0.388
10.467,168.140,0.388
10.483,167.973,0.388
10.500,167.807,0.388
10.517,167.642,0.388
10.533,167.476,0.388
10.550,167.311,0.388
10.567,167.147,0.388
10.583,166.983,0.388
