# Frequency,Velocity,Velstd 
#  coords,(-3.0, 20.0),(-3.0, -5.0)
3.000,231.768,0.769
3.017,231.626,0.409
3.033,231.484,0.402
3.050,231.342,0.396
3.067,231.199,0.390
3.083,231.057,0.388
3.100,230.915,0.388
3.117,230.772,0.388
3.133,230.630,0.388
3.150,230.488,0.388
3.167,230.345,0.388
3.183,230.203,0.388
3.200,230.060,0.388
3.217,229.918,0.388
3.233,229.776,0.388
3.250,229.634,0.388
3.267,229.491,0.388
3.283,229.349,0.388
3.300,229.206,0.388
3.317,229.064,0.388
3.333,228.921,0.388
3.350,228.779,0.388
3.367,228.636,0.388
3.383,228.494,0.388
3.400,228.351,0.388
3.417,228.208,0.388
3.433,228.066,0.388
3.450,227.923,0.388
3.467,227.780,0.388
3.483,227.637,0.388
3.500,227.494,0.388
3.517,227.351,0.388
3.533,227.208,0.388
3.550,227.065,0.388
3.567,226.922,0.388
3.583,226.779,0.388
3.600,226.636,0.388
3.617,226.494,0.388
3.633,226.352,0.388
3.650,226.209,0.388
3.667,226.067,0.388
3.683,225.924,0.388
3.700,225.782,0.388
3.717,225.639,0.388
3.733,225.496,0.388
3.750,225.353,0.388
3.767,225.211,0.388
3.783,225.068,0.388
3.800,224.926,0.388
3.817,224.783,0.388
3.833,224.641,0.388
3.850,224.499,0.388
3.867,224.356,0.388
3.883,224.214,0.388
3.900,224.072,0.388
3.917,223.930,0.388
3.933,223.787,0.388
3.950,223.644,0.388
3.967,223.501,0.388
3.983,223.359,0.388
4.000,223.216,0.388
4.017,223.073,0.388
4.033,222.930,0.388
4.050,222.787,0.388
4.067,222.644,0.388
4.083,222.501,0.388
4.100,222.358,0.388
4.117,222.214,0.388
4.133,222.071,0.388
4.150,221.929,0.388
4.167,221.786,0.388
4.183,221.643,0.388
4.200,221.500,0.388
4.217,221.356,0.388
4.233,221.213,0.388
4.250,221.069,0.388
4.267,220.925,0.388
4.283,220.781,0.388
4.300,220.637,0.388
4.317,220.493,0.388
4.333,220.349,0.388
4.350,220.205,0.388
4.367,220.061,0.388
4.383,219.917,0.388
4.400,219.773,0.388
4.417,219.629,0.388
4.433,219.484,0.388
4.450,219.340,0.388
4.467,219.196,0.388
4.483,219.051,0.388
4.500,218.906,0.388
4.517,218.762,0.388
4.533,218.617,0.388
4.550,218.473,0.388
4.567,218.328,0.388
4.583,218.183,0.388
4.600,218.039,0.388
4.617,217.894,0.388
4.633,217.750,0.388
4.650,217.606,0.388
4.667,217.462,0.388
4.683,217.319,0.388
4.700,217.175,0.388
4.717,217.031,0.388
4.733,216.887,0.388
4.750,216.743,0.388
4.767,216.599,0.388
4.783,216.456,0.388
4.800,216.312,0.388
4.817,216.169,0.388
4.833,216.026,0.388
4.850,215.882,0.388
4.867,215.739,0.388
4.883,215.596,0.388
4.900,215.453,0.388
4.917,215.310,0.388
4.933,215.166,0.388
4.950,215.023,0.388
4.967,214.880,0.388
4.983,214.737,0.388
5.000,214.594,0.388
5.017,214.451,0.388
5.033,214.308,0.388
5.050,214.165,0.388
5.067,214.023,0.388
5.083,213.880,0.388
5.100,213.738,0.388
5.117,213.596,0.388
5.133,213.454,0.388
5.150,213.312,0.388
5.167,213.170,0.388
5.183,213.029,0.388
5.200,212.887,0.388
5.217,212.745,0.388
5.233,212.602,0.388
5.250,212.460,0.388
5.267,212.318,0.388
5.283,212.176,0.388
5.300,212.034,0.388
5.317,211.892,0.388
5.333,211.749,0.388
5.350,211.607,0.388
5.367,211.465,0.388
5.383,211.323,0.388
