# Frequency,Velocity,Velstd 
#  coords,(-3.0, 20.0),(10.5, 20.0)
6.100,234.442,0.769
6.117,234.178,0.409
6.133,233.914,0.402
6.150,233.652,0.396
6.167,233.391,0.390
6.183,233.131,0.388
6.200,232.871,0.388
6.217,232.613,0.388
6.233,232.356,0.388
6.250,232.100,0.388
6.267,231.845,0.388
6.283,231.591,0.388
6.300,231.338,0.388
6.317,231.087,0.388
6.333,230.836,0.388
6.350,230.586,0.388
6.367,230.336,0.388
6.383,230.088,0.388
6.400,229.841,0.388
6.417,229.595,0.388
6.433,229.349,0.388
6.450,229.105,0.388
6.467,228.862,0.388
6.483,228.619,0.388
6.500,228.378,0.388
6.517,228.137,0.388
6.533,227.898,0.388
6.550,227.660,0.388
6.567,227.422,0.388
6.583,227.185,0.388
6.600,226.950,0.388
6.617,226.715,0.388
6.633,226.481,0.388
6.650,226.247,0.388
6.667,226.015,0.388
6.683,225.783,0.388
6.700,225.553,0.388
6.717,225.323,0.388
6.733,225.094,0.388
6.750,224.866,0.388
6.767,224.638,0.388
6.783,224.412,0.388
6.800,224.186,0.388
6.817,223.961,0.388
6.833,223.738,0.388
6.850,223.515,0.388
6.867,223.293,0.388
6.883,223.071,0.388
6.900,222.851,0.388
6.917,222.631,0.388
6.933,222.411,0.388
6.950,222.193,0.388
6.967,221.976,0.388
6.983,221.759,0.388
7.000,221.543,0.388
7.017,221.328,0.388
7.033,221.113,0.388
7.050,220.899,0.388
7.067,220.687,0.388
7.083,220.475,0.388
7.100,220.263,0.388
7.117,220.053,0.388
7.133,219.843,0.388
7.150,219.634,0.388
7.167,219.425,0.388
7.183,219.218,0.388
7.200,219.011,0.388
7.217,218.804,0.388
7.233,218.599,0.388
7.250,218.394,0.388
7.267,218.190,0.388
7.283,217.986,0.388
7.300,217.783,0.388
7.317,217.581,0.388
7.333,217.380,0.388
7.350,217.179,0.388
7.367,216.979,0.388
7.383,216.780,0.388
7.400,216.581,0.388
7.417,216.384,0.388
7.433,216.187,0.388
7.450,215.990,0.388
7.467,215.794,0.388
7.483,215.599,0.388
7.500,215.404,0.388
7.517,215.210,0.388
7.533,215.017,0.388
7.550,214.824,0.388
7.567,214.632,0.388
7.583,214.441,0.388
7.600,214.250,0.388
7.617,214.060,0.388
7.633,213.871,0.388
7.650,213.682,0.388
7.667,213.494,0.388
7.683,213.306,0.388
7.700,213.119,0.388
7.717,212.932,0.388
7.733,212.746,0.388
7.750,212.561,0.388
7.767,212.376,0.388
7.783,212.192,0.388
7.800,212.008,0.388
7.817,211.825,0.388
7.833,211.643,0.388
7.850,211.461,0.388
7.867,211.280,0.388
7.883,211.099,0.388
7.900,210.919,0.388
7.917,210.740,0.388
7.933,210.561,0.388
7.950,210.383,0.388
7.967,210.205,0.388
7.983,210.027,0.388
8.000,209.851,0.388
8.017,209.675,0.388
8.033,209.499,0.388
8.050,209.324,0.388
8.067,209.150,0.388
8.083,208.976,0.388
8.100,208.803,0.388
8.117,208.630,0.388
8.133,208.458,0.388
8.150,208.286,0.388
8.167,208.115,0.388
8.183,207.945,0.388
8.200,207.774,0.388
8.217,207.605,0.388
8.233,207.436,0.388
8.250,207.267,0.388
8.267,207.099,0.388
8.283,206.931,0.388
8.300,206.764,0.388
8.317,206.598,0.388
8.333,206.432,0.388
8.350,206.266,0.388
8.367,206.101,0.388
8.383,205.936,0.388
8.400,205.772,0.388
8.417,205.609,0.388
8.433,205.445,0.388
8.450,205.283,0.388
8.467,205.121,0.388
8.483,204.959,0.388
8.500,204.798,0.388
8.517,204.637,0.388
8.533,204.477,0.388
8.550,204.317,0.388
8.567,204.158,0.388
8.583,203.999,0.388
8.600,203.840,0.388
8.617,203.682,0.388
8.633,203.525,0.388
8.650,203.368,0.388
8.667,203.211,0.388
8.683,203.055,0.388
8.700,202.900,0.388
8.717,202.744,0.388
8.733,202.590,0.388
8.750,202.435,0.388
8.767,202.281,0.388
8.783,202.128,0.388
8.800,201.975,0.388
8.817,201.822,0.388
8.833,201.670,0.388
8.850,201.519,0.388
8.867,201.367,0.388
8.883,201.217,0.388
8.900,201.066,0.388
8.917,200.916,0.388
8.933,200.767,0.388
8.950,200.618,0.388
8.967,200.469,0.388
8.983,200.320,0.388
9.000,200.173,0.388
9.017,200.025,0.388
9.033,199.878,0.388
9.050,199.731,0.388
9.067,199.585,0.388
9.083,199.439,0.388
9.100,199.294,0.388
9.117,199.149,0.388
9.133,199.004,0.388
9.150,198.860,0.388
9.167,198.716,0.388
9.183,198.572,0.388
9.200,198.429,0.388
9.217,198.286,0.388
9.233,198.144,0.388
9.250,198.002,0.388
9.267,197.861,0.388
9.283,197.719,0.388
9.300,197.579,0.388
