# Frequency,Velocity,Velstd 
#  coords,(-3.0, -5.0),(10.5, 20.0)
2.900,274.969,0.769
2.917,274.517,0.409
2.933,274.070,0.402
2.950,273.626,0.396
2.967,273.185,0.390
2.983,272.749,0.388
3.000,272.316,0.388
3.017,271.887,0.388
3.033,271.461,0.388
3.050,271.039,0.388
3.067,270.620,0.388
3.083,270.204,0.388
3.100,269.792,0.388
3.117,269.383,0.388
3.133,268.978,0.388
3.150,268.575,0.388
3.167,268.176,0.388
3.183,267.780,0.388
3.200,267.387,0.388
3.217,266.997,0.388
3.233,266.610,0.388
3.250,266.226,0.388
3.267,265.845,0.388
3.283,265.467,0.388
3.300,265.092,0.388
3.317,264.719,0.388
3.333,264.350,0.388
3.350,263.983,0.388
3.367,263.619,0.388
3.383,263.257,0.388
3.400,262.898,0.388
3.417,262.542,0.388
3.433,262.189,0.388
3.450,261.838,0.388
3.467,261.489,0.388
3.483,261.143,0.388
3.500,260.800,0.388
3.517,260.459,0.388
3.533,260.120,0.388
3.550,259.784,0.388
3.567,259.450,0.388
3.583,259.118,0.388
3.600,258.789,0.388
3.617,258.462,0.388
3.633,258.137,0.388
3.650,257.814,0.388
3.667,257.494,0.388
3.683,257.176,0.388
3.700,256.860,0.388
3.717,256.546,0.388
3.733,256.235,0.388
3.750,255.925,0.388
3.767,255.618,0.388
3.783,255.312,0.388
3.800,255.008,0.388
3.817,254.707,0.388
3.833,254.407,0.388
3.850,254.110,0.388
3.867,253.814,0.388
3.883,253.520,0.388
3.900,253.228,0.388
3.917,252.938,0.388
3.933,252.650,0.388
3.950,252.363,0.388
3.967,252.079,0.388
3.983,251.796,0.388
4.000,251.515,0.388
4.017,251.236,0.388
4.033,250.958,0.388
4.050,250.682,0.388
4.067,250.408,0.388
4.083,250.136,0.388
4.100,249.865,0.388
4.117,249.596,0.388
4.133,249.328,0.388
4.150,249.062,0.388
4.167,248.798,0.388
4.183,248.535,0.388
4.200,248.274,0.388
4.217,248.015,0.388
4.233,247.757,0.388
4.250,247.500,0.388
4.267,247.245,0.388
4.283,246.992,0.388
4.300,246.740,0.388
4.317,246.489,0.388
4.333,246.240,0.388
4.350,245.992,0.388
4.367,245.746,0.388
4.383,245.501,0.388
4.400,245.258,0.388
4.417,245.016,0.388
4.433,244.775,0.388
4.450,244.536,0.388
4.467,244.298,0.388
4.483,244.061,0.388
4.500,243.826,0.388
4.517,243.592,0.388
4.533,243.359,0.388
4.550,243.128,0.388
4.567,242.898,0.388
4.583,242.669,0.388
4.600,242.442,0.388
4.617,242.215,0.388
4.633,241.990,0.388
4.650,241.766,0.388
4.667,241.544,0.388
4.683,241.322,0.388
4.700,241.102,0.388
4.717,240.883,0.388
4.733,240.665,0.388
4.750,240.448,0.388
4.767,240.232,0.388
4.783,240.018,0.388
4.800,239.805,0.388
4.817,239.592,0.388
4.833,239.381,0.388
4.850,239.171,0.388
4.867,238.962,0.388
4.883,238.754,0.388
4.900,238.548,0.388
4.917,238.342,0.388
4.933,238.137,0.388
4.950,237.934,0.388
4.967,237.731,0.388
4.983,237.529,0.388
5.000,237.329,0.388
5.017,237.129,0.388
5.033,236.931,0.388
5.050,236.733,0.388
5.067,236.537,0.388
5.083,236.341,0.388
5.100,236.146,0.388
5.117,235.953,0.388
5.133,235.760,0.388
5.150,235.568,0.388
5.167,235.377,0.388
5.183,235.187,0.388
5.200,234.998,0.388
5.217,234.810,0.388
5.233,234.623,0.388
5.250,234.437,0.388
5.267,234.251,0.388
5.283,234.067,0.388
5.300,233.883,0.388
5.317,233.700,0.388
5.333,233.519,0.388
5.350,233.338,0.388
5.367,233.157,0.388
5.383,232.978,0.388
5.400,232.799,0.388
5.417,232.622,0.388
5.433,232.445,0.388
5.450,232.269,0.388
5.467,232.093,0.388
5.483,231.919,0.388
5.500,231.745,0.388
5.517,231.572,0.388
5.533,231.400,0.388
5.550,231.229,0.388
5.567,231.058,0.388
5.583,230.888,0.388
5.600,230.719,0.388
5.617,230.550,0.388
5.633,230.383,0.388
5.650,230.216,0.388
5.667,230.050,0.388
5.683,229.885,0.388
5.700,229.720,0.388
5.717,229.556,0.388
5.733,229.393,0.388
5.750,229.230,0.388
5.767,229.068,0.388
5.783,228.907,0.388
5.800,228.747,0.388
5.817,228.587,0.388
5.833,228.428,0.388
5.850,228.269,0.388
5.867,228.112,0.388
5.883,227.955,0.388
5.900,227.798,0.388
5.917,227.643,0.388
5.933,227.487,0.388
5.950,227.333,0.388
5.967,227.179,0.388
5.983,227.026,0.388
6.000,226.873,0.388
6.017,226.721,0.388
6.033,226.570,0.388
6.050,226.419,0.388
6.067,226.269,0.388
6.083,226.119,0.388
6.100,225.970,0.388
6.117,225.822,0.388
6.133,225.675,0.388
6.150,225.528,0.388
6.167,225.381,0.388
6.183,225.235,0.388
6.200,225.090,0.388
6.217,224.945,0.388
6.233,224.801,0.388
6.250,224.658,0.388
6.267,224.515,0.388
6.283,224.372,0.388
6.300,224.230,0.388
6.317,224.089,0.388
6.333,223.948,0.388
6.350,223.808,0.388
6.367,223.668,0.388
6.383,223.529,0.388
6.400,223.390,0.388
6.417,223.252,0.388
6.433,223.114,0.388
6.450,222.977,0.388
6.467,222.841,0.388
6.483,222.705,0.388
6.500,222.570,0.388
6.517,222.435,0.388
6.533,222.301,0.388
6.550,222.167,0.388
6.567,222.034,0.388
6.583,221.901,0.388
6.600,221.769,0.388
6.617,221.637,0.388
6.633,221.506,0.388
6.650,221.375,0.388
6.667,221.245,0.388
6.683,221.115,0.388
6.700,220.986,0.388
6.717,220.857,0.388
6.733,220.728,0.388
6.750,220.600,0.388
6.767,220.473,0.388
6.783,220.346,0.388
6.800,220.219,0.388
6.817,220.093,0.388
6.833,219.968,0.388
6.850,219.842,0.388
6.867,219.718,0.388
6.883,219.593,0.388
6.900,219.469,0.388
6.917,219.346,0.388
6.933,219.223,0.388
6.950,219.100,0.388
6.967,218.978,0.388
6.983,218.857,0.388
7.000,218.735,0.388
7.017,218.615,0.388
7.033,218.494,0.388
7.050,218.375,0.388
7.067,218.255,0.388
7.083,218.136,0.388
7.100,218.017,0.388
7.117,217.899,0.388
7.133,217.781,0.388
7.150,217.664,0.388
7.167,217.547,0.388
7.183,217.430,0.388
7.200,217.313,0.388
7.217,217.198,0.388
7.233,217.082,0.388
7.250,216.967,0.388
7.267,216.852,0.388
7.283,216.738,0.388
7.300,216.624,0.388
7.317,216.510,0.388
7.333,216.397,0.388
7.350,216.284,0.388
7.367,216.172,0.388
7.383,216.060,0.388
7.400,215.948,0.388
7.417,215.837,0.388
7.433,215.725,0.388
7.450,215.615,0.388
7.467,215.504,0.388
7.483,215.394,0.388
7.500,215.284,0.388
7.517,215.175,0.388
7.533,215.066,0.388
7.550,214.958,0.388
7.567,214.849,0.388
7.583,214.742,0.388
7.600,214.634,0.388
7.617,214.527,0.388
7.633,214.420,0.388
7.650,214.314,0.388
7.667,214.208,0.388
7.683,214.102,0.388
7.700,213.997,0.388
7.717,213.892,0.388
7.733,213.787,0.388
7.750,213.683,0.388
7.767,213.579,0.388
7.783,213.475,0.388
7.800,213.372,0.388
7.817,213.269,0.388
7.833,213.166,0.388
7.850,213.064,0.388
7.867,212.962,0.388
7.883,212.860,0.388
7.900,212.759,0.388
7.917,212.657,0.388
7.933,212.557,0.388
7.950,212.456,0.388
7.967,212.356,0.388
7.983,212.256,0.388
8.000,212.157,0.388
8.017,212.058,0.388
8.033,211.959,0.388
8.050,211.860,0.388
8.067,211.762,0.388
8.083,211.664,0.388
8.100,211.566,0.388
8.117,211.469,0.388
8.133,211.372,0.388
8.150,211.275,0.388
8.167,211.178,0.388
8.183,211.082,0.388
8.200,210.986,0.388
8.217,210.891,0.388
8.233,210.795,0.388
8.250,210.700,0.388
8.267,210.606,0.388
8.283,210.511,0.388
8.300,210.417,0.388
8.317,210.323,0.388
8.333,210.230,0.388
8.350,210.136,0.388
8.367,210.043,0.388
8.383,209.951,0.388
8.400,209.858,0.388
8.417,209.766,0.388
8.433,209.674,0.388
8.450,209.582,0.388
8.467,209.491,0.388
8.483,209.400,0.388
8.500,209.309,0.388
8.517,209.218,0.388
8.533,209.128,0.388
8.550,209.038,0.388
8.567,208.948,0.388
8.583,208.859,0.388
8.600,208.770,0.388
8.617,208.681,0.388
8.633,208.592,0.388
8.650,208.504,0.388
8.667,208.416,0.388
8.683,208.328,0.388
8.700,208.240,0.388
8.717,208.153,0.388
8.733,208.066,0.388
8.750,207.979,0.388
8.767,207.892,0.388
8.783,207.806,0.388
8.800,207.720,0.388
8.817,207.634,0.388
8.833,207.548,0.388
8.850,207.463,0.388
8.867,207.378,0.388
8.883,207.293,0.388
8.900,207.208,0.388
8.917,207.124,0.388
8.933,207.040,0.388
8.950,206.956,0.388
8.967,206.872,0.388
8.983,206.789,0.388
9.000,206.706,0.388
9.017,206.623,0.388
9.033,206.540,0.388
9.050,206.458,0.388
9.067,206.376,0.388
9.083,206.294,0.388
9.100,206.212,0.388
9.117,206.131,0.388
9.133,206.050,0.388
9.150,205.969,0.388
9.167,205.888,0.388
9.183,205.807,0.388
9.200,205.727,0.388
9.217,205.647,0.388
9.233,205.567,0.388
9.250,205.487,0.388
9.267,205.408,0.388
9.283,205.328,0.388
9.300,205.249,0.388
9.317,205.170,0.388
9.333,205.091,0.388
9.350,205.013,0.388
9.367,204.934,0.388
9.383,204.856,0.388
9.400,204.779,0.388
9.417,204.701,0.388
9.433,204.624,0.388
9.450,204.547,0.388
9.467,204.470,0.388
9.483,204.393,0.388
9.500,204.317,0.388
9.517,204.240,0.388
9.533,204.164,0.388
9.550,204.088,0.388
9.567,204.013,0.388
9.583,203.937,0.388
9.600,203.862,0.388
9.617,203.787,0.388
9.633,203.712,0.388
9.650,203.637,0.388
9.667,203.563,0.388
9.683,203.489,0.388
9.700,203.415,0.388
9.717,203.341,0.388
9.733,203.267,0.388
9.750,203.193,0.388
9.767,203.120,0.388
9.783,203.047,0.388
9.800,202.974,0.388
9.817,202.902,0.388
9.833,202.830,0.388
9.850,202.758,0.388
9.867,202.686,0.388
9.883,202.614,0.388
9.900,202.543,0.388
9.917,202.472,0.388
9.933,202.401,0.388
9.950,202.330,0.388
9.967,202.259,0.388
9.983,202.188,0.388
10.000,202.118,0.388
10.017,202.047,0.388
10.033,201.977,0.388
10.050,201.907,0.388
10.067,201.837,0.388
10.083,201.768,0.388
10.100,201.698,0.388
10.117,201.629,0.388
10.133,201.560,0.388
10.150,201.491,0.388
10.167,201.422,0.388
10.183,201.353,0.388
10.200,201.285,0.388
10.217,201.216,0.388
10.233,201.148,0.388
10.250,201.080,0.388
10.267,201.012,0.388
10.283,200.945,0.388
10.300,200.877,0.388
10.317,200.809,0.388
10.333,200.742,0.388
10.350,200.675,0.388
10.367,200.608,0.388
10.383,200.542,0.388
10.400,200.475,0.388
10.417,200.409,0.388
10.433,200.342,0.388
10.450,200.276,0.388
10.467,200.210,0.388
10.483,200.144,0.388
10.500,200.078,0.388
10.517,200.012,0.388
10.533,199.947,0.388
10.550,199.882,0.388
10.567,199.816,0.388
10.583,199.751,0.388
10.600,199.686,0.388
10.617,199.621,0.388
10.633,199.556,0.388
10.650,199.492,0.388
10.667,199.427,0.388
10.683,199.363,0.388
10.700,199.299,0.388
10.717,199.235,0.388
10.733,199.171,0.388
10.750,199.107,0.388
10.767,199.043,0.388
10.783,198.980,0.388
10.800,198.916,0.388
10.817,198.853,0.388
10.833,198.790,0.388
10.850,198.727,0.388
10.867,198.664,0.388
10.883,198.601,0.388
10.900,198.538,0.388
10.917,198.476,0.388
10.933,198.414,0.388
10.950,198.351,0.388
10.967,198.289,0.388
10.983,198.227,0.388
11.000,198.166,0.388
11.017,198.104,0.388
11.033,198.042,0.388
11.050,197.981,0.388
11.067,197.920,0.388
11.083,197.859,0.388
11.100,197.798,0.388
11.117,197.737,0.388
11.133,197.676,0.388
11.150,197.616,0.388
11.167,197.555,0.388
11.183,197.495,0.388
11.200,197.434,0.388
11.217,197.374,0.388
11.233,197.314,0.388
11.250,197.254,0.388
11.267,197.195,0.388
11.283,197.135,0.388
11.300,197.076,0.388
11.317,197.016,0.388
11.333,196.957,0.388
11.350,196.898,0.388
11.367,196.839,0.388
11.383,196.780,0.388
11.400,196.721,0.388
11.417,196.663,0.388
11.433,196.604,0.388
11.450,196.546,0.388
11.467,196.487,0.388
11.483,196.429,0.388
11.500,196.371,0.388
11.517,196.314,0.388
11.533,196.256,0.388
11.550,196.199,0.388
11.567,196.141,0.388
11.583,196.084,0.388
11.600,196.027,0.388
11.617,195.970,0.388
11.633,195.913,0.388
11.650,195.856,0.388
11.667,195.799,0.388
11.683,195.743,0.388
11.700,195.686,0.388
11.717,195.630,0.388
11.733,195.574,0.388
11.750,195.518,0.388
11.767,195.462,0.388
11.783,195.406,0.388
11.800,195.351,0.388
11.817,195.295,0.388
11.833,195.240,0.388
11.850,195.185,0.388
11.867,195.129,0.388
11.883,195.074,0.388
11.900,195.019,0.388
11.917,194.964,0.388
11.933,194.910,0.388
11.950,194.856,0.388
11.967,194.801,0.388
11.983,194.747,0.388
12.000,194.693,0.388
12.017,194.639,0.388
12.033,194.585,0.388
12.050,194.532,0.388
12.067,194.478,0.388
12.083,194.424,0.388
12.100,194.371,0.388
12.117,194.318,0.388
12.133,194.265,0.388
12.150,194.212,0.388
12.167,194.159,0.388
12.183,194.106,0.388
12.200,194.054,0.388
12.217,194.002,0.388
12.233,193.949,0.388
12.250,193.897,0.388
12.267,193.845,0.388
12.283,193.793,0.388
12.300,193.741,0.388
12.317,193.690,0.388
12.333,193.638,0.388
12.350,193.587,0.388
12.367,193.536,0.388
12.383,193.485,0.388
12.400,193.434,0.388
12.417,193.383,0.388
12.433,193.332,0.388
12.450,193.282,0.388
12.467,193.231,0.388
12.483,193.180,0.388
12.500,193.130,0.388
12.517,193.079,0.388
12.533,193.029,0.388
12.550,192.978,0.388
12.567,192.928,0.388
12.583,192.878,0.388
12.600,192.828,0.388
12.617,192.778,0.388
12.633,192.729,0.388
12.650,192.679,0.388
12.667,192.630,0.388
12.683,192.580,0.388
12.700,192.531,0.388
12.717,192.482,0.388
12.733,192.433,0.388
12.750,192.384,0.388
12.767,192.335,0.388
12.783,192.287,0.388
12.800,192.238,0.388
12.817,192.189,0.388
12.833,192.141,0.388
12.850,192.093,0.388
12.867,192.044,0.388
12.883,191.996,0.388
12.900,191.948,0.388
12.917,191.900,0.388
12.933,191.852,0.388
12.950,191.804,0.388
12.967,191.756,0.388
12.983,191.708,0.388
13.000,191.661,0.388
13.017,191.613,0.388
13.033,191.566,0.388
13.050,191.519,0.388
13.067,191.471,0.388
13.083,191.424,0.388
13.100,191.377,0.388
13.117,191.330,0.388
13.133,191.283,0.388
13.150,191.237,0.388
13.167,191.190,0.388
13.183,191.144,0.388
13.200,191.097,0.388
13.217,191.051,0.388
13.233,191.004,0.388
13.250,190.958,0.388
13.267,190.912,0.388
13.283,190.866,0.388
13.300,190.820,0.388
13.317,190.774,0.388
13.333,190.729,0.388
13.350,190.683,0.388
13.367,190.638,0.388
13.383,190.592,0.388
13.400,190.547,0.388
13.417,190.501,0.388
13.433,190.456,0.388
13.450,190.410,0.388
13.467,190.365,0.388
13.483,190.320,0.388
13.500,190.275,0.388
13.517,190.230,0.388
13.533,190.185,0.388
13.550,190.140,0.388
13.567,190.095,0.388
13.583,190.051,0.388
13.600,190.006,0.388
13.617,189.961,0.388
13.633,189.916,0.388
13.650,189.872,0.388
13.667,189.827,0.388
13.683,189.783,0.388
13.700,189.739,0.388
13.717,189.695,0.388
13.733,189.650,0.388
13.750,189.606,0.388
13.767,189.562,0.388
13.783,189.518,0.388
13.800,189.475,0.388
13.817,189.431,0.388
13.833,189.387,0.388
13.850,189.344,0.388
13.867,189.300,0.388
13.883,189.257,0.388
13.900,189.213,0.388
13.917,189.170,0.388
13.933,189.126,0.388
13.950,189.083,0.388
13.967,189.040,0.388
13.983,188.997,0.388
14.000,188.954,0.388
14.017,188.911,0.388
14.033,188.868,0.388
14.050,188.825,0.388
14.067,188.782,0.388
14.083,188.740,0.388
14.100,188.697,0.388
14.117,188.655,0.388
14.133,188.612,0.388
14.150,188.570,0.388
14.167,188.527,0.388
14.183,188.485,0.388
14.200,188.443,0.388
14.217,188.401,0.388
14.233,188.359,0.388
14.250,188.317,0.388
14.267,188.275,0.388
14.283,188.233,0.388
14.300,188.191,0.388
14.317,188.150,0.388
14.333,188.108,0.388
14.350,188.067,0.388
14.367,188.026,0.388
14.383,187.984,0.388
14.400,187.943,0.388
14.417,187.902,0.388
14.433,187.860,0.388
14.450,187.819,0.388
14.467,187.778,0.388
14.483,187.737,0.388
14.500,187.696,0.388
14.517,187.655,0.388
14.533,187.615,0.388
14.550,187.574,0.388
14.567,187.534,0.388
14.583,187.493,0.388
14.600,187.453,0.388
14.617,187.412,0.388
14.633,187.372,0.388
14.650,187.332,0.388
14.667,187.291,0.388
14.683,187.251,0.388
14.700,187.211,0.388
14.717,187.171,0.388
14.733,187.131,0.388
14.750,187.091,0.388
14.767,187.051,0.388
14.783,187.012,0.388
14.800,186.972,0.388
14.817,186.933,0.388
14.833,186.893,0.388
14.850,186.854,0.388
14.867,186.815,0.388
14.883,186.776,0.388
14.900,186.737,0.388
14.917,186.698,0.388
14.933,186.660,0.388
14.950,186.621,0.388
14.967,186.582,0.388
14.983,186.543,0.388
15.000,186.504,0.388
15.017,186.465,0.388
15.033,186.427,0.388
15.050,186.388,0.388
15.067,186.350,0.388
15.083,186.312,0.388
15.100,186.274,0.388
15.117,186.236,0.388
15.133,186.198,0.388
15.150,186.160,0.388
15.167,186.122,0.388
15.183,186.085,0.388
15.200,186.047,0.388
15.217,186.009,0.388
15.233,185.972,0.388
15.250,185.934,0.388
15.267,185.897,0.388
15.283,185.859,0.388
15.300,185.822,0.388
15.317,185.785,0.388
15.333,185.748,0.388
15.350,185.711,0.388
15.367,185.674,0.388
15.383,185.637,0.388
15.400,185.600,0.388
15.417,185.563,0.388
15.433,185.527,0.388
15.450,185.490,0.388
15.467,185.453,0.388
15.483,185.417,0.388
15.500,185.380,0.388
15.517,185.344,0.388
15.533,185.308,0.388
15.550,185.271,0.388
15.567,185.235,0.388
15.583,185.199,0.388
15.600,185.163,0.388
15.617,185.127,0.388
15.633,185.091,0.388
15.650,185.055,0.388
15.667,185.019,0.388
15.683,184.984,0.388
15.700,184.948,0.388
15.717,184.913,0.388
15.733,184.877,0.388
15.750,184.842,0.388
15.767,184.807,0.388
15.783,184.771,0.388
15.800,184.736,0.388
15.817,184.700,0.388
15.833,184.665,0.388
15.850,184.630,0.388
15.867,184.594,0.388
15.883,184.559,0.388
15.900,184.524,0.388
15.917,184.489,0.388
15.933,184.453,0.388
15.950,184.418,0.388
15.967,184.384,0.388
15.983,184.349,0.388
16.000,184.314,0.388
16.017,184.280,0.388
16.033,184.245,0.388
16.050,184.210,0.388
16.067,184.175,0.388
16.083,184.141,0.388
16.100,184.106,0.388
16.117,184.071,0.388
16.133,184.037,0.388
