# Frequency,Velocity,Velstd 
#  coords,(24.0, -5.0),(10.5, 20.0)
3.000,262.636,0.769
3.017,262.294,0.409
3.033,261.955,0.402
3.050,261.618,0.396
3.067,261.284,0.390
3.083,260.952,0.388
3.100,260.623,0.388
3.117,260.297,0.388
3.133,259.974,0.388
3.150,259.653,0.388
3.167,259.335,0.388
3.183,259.019,0.388
3.200,258.706,0.388
3.217,258.395,0.388
3.233,258.087,0.388
3.250,257.781,0.388
3.267,257.477,0.388
3.283,257.175,0.388
3.300,256.876,0.388
3.317,256.579,0.388
3.333,256.284,0.388
3.350,255.991,0.388
3.367,255.701,0.388
3.383,255.413,0.388
3.400,255.126,0.388
3.417,254.842,0.388
3.433,254.560,0.388
3.450,254.280,0.388
3.467,254.002,0.388
3.483,253.726,0.388
3.500,253.452,0.388
3.517,253.181,0.388
3.533,252.911,0.388
3.550,252.643,0.388
3.567,252.377,0.388
3.583,252.112,0.388
3.600,251.850,0.388
3.617,251.589,0.388
3.633,251.330,0.388
3.650,251.073,0.388
3.667,250.817,0.388
3.683,250.564,0.388
3.700,250.312,0.388
3.717,250.062,0.388
3.733,249.814,0.388
3.750,249.567,0.388
3.767,249.322,0.388
3.783,249.078,0.388
3.800,248.836,0.388
3.817,248.595,0.388
3.833,248.356,0.388
3.850,248.118,0.388
3.867,247.882,0.388
3.883,247.648,0.388
3.900,247.415,0.388
3.917,247.184,0.388
3.933,246.954,0.388
3.950,246.726,0.388
3.967,246.499,0.388
3.983,246.273,0.388
4.000,246.049,0.388
4.017,245.826,0.388
4.033,245.605,0.388
4.050,245.385,0.388
4.067,245.167,0.388
4.083,244.950,0.388
4.100,244.734,0.388
4.117,244.520,0.388
4.133,244.306,0.388
4.150,244.095,0.388
4.167,243.884,0.388
4.183,243.675,0.388
4.200,243.467,0.388
4.217,243.260,0.388
4.233,243.055,0.388
4.250,242.851,0.388
4.267,242.648,0.388
4.283,242.446,0.388
4.300,242.245,0.388
4.317,242.045,0.388
4.333,241.847,0.388
4.350,241.649,0.388
4.367,241.453,0.388
4.383,241.258,0.388
4.400,241.064,0.388
4.417,240.871,0.388
