# Frequency,Velocity,Velstd 
#  coords,(24.0, 20.0),(10.5, 20.0)
6.200,259.612,0.769
6.217,259.277,0.409
6.233,258.943,0.402
6.250,258.610,0.396
6.267,258.279,0.390
6.283,257.949,0.388
6.300,257.620,0.388
6.317,257.293,0.388
6.333,256.967,0.388
6.350,256.642,0.388
6.367,256.319,0.388
6.383,255.997,0.388
6.400,255.676,0.388
6.417,255.356,0.388
6.433,255.038,0.388
6.450,254.721,0.388
6.467,254.405,0.388
6.483,254.090,0.388
6.500,253.777,0.388
6.517,253.465,0.388
6.533,253.154,0.388
6.550,252.844,0.388
6.567,252.535,0.388
6.583,252.228,0.388
6.600,251.921,0.388
6.617,251.616,0.388
6.633,251.312,0.388
6.650,251.009,0.388
6.667,250.707,0.388
6.683,250.407,0.388
6.700,250.107,0.388
6.717,249.809,0.388
6.733,249.512,0.388
6.750,249.215,0.388
6.767,248.920,0.388
6.783,248.627,0.388
6.800,248.334,0.388
6.817,248.043,0.388
6.833,247.752,0.388
6.850,247.462,0.388
6.867,247.174,0.388
6.883,246.886,0.388
6.900,246.600,0.388
6.917,246.314,0.388
6.933,246.030,0.388
6.950,245.746,0.388
6.967,245.464,0.388
6.983,245.182,0.388
7.000,244.902,0.388
7.017,244.622,0.388
7.033,244.344,0.388
7.050,244.066,0.388
7.067,243.790,0.388
7.083,243.514,0.388
7.100,243.240,0.388
7.117,242.966,0.388
7.133,242.693,0.388
7.150,242.421,0.388
7.167,242.150,0.388
7.183,241.880,0.388
7.200,241.611,0.388
7.217,241.344,0.388
7.233,241.076,0.388
7.250,240.810,0.388
7.267,240.545,0.388
7.283,240.280,0.388
7.300,240.017,0.388
7.317,239.754,0.388
7.333,239.493,0.388
7.350,239.232,0.388
7.367,238.972,0.388
7.383,238.713,0.388
7.400,238.455,0.388
7.417,238.198,0.388
7.433,237.942,0.388
7.450,237.686,0.388
7.467,237.432,0.388
7.483,237.178,0.388
7.500,236.925,0.388
7.517,236.674,0.388
7.533,236.422,0.388
7.550,236.172,0.388
7.567,235.923,0.388
7.583,235.674,0.388
7.600,235.427,0.388
7.617,235.180,0.388
7.633,234.934,0.388
7.650,234.688,0.388
7.667,234.444,0.388
7.683,234.200,0.388
7.700,233.957,0.388
7.717,233.715,0.388
7.733,233.474,0.388
7.750,233.233,0.388
7.767,232.994,0.388
7.783,232.755,0.388
7.800,232.516,0.388
7.817,232.279,0.388
7.833,232.042,0.388
7.850,231.806,0.388
7.867,231.571,0.388
7.883,231.336,0.388
7.900,231.102,0.388
7.917,230.869,0.388
7.933,230.637,0.388
7.950,230.405,0.388
7.967,230.174,0.388
7.983,229.944,0.388
