# Frequency,Velocity,Velstd 
#  coords,(12.0, 2.0),(1.0, 4.0)
6.500,218.136,0.769
6.517,218.008,0.408
6.533,217.881,0.402
6.550,217.753,0.396
6.567,217.626,0.390
6.583,217.498,0.388
6.600,217.370,0.388
6.617,217.242,0.388
6.633,217.114,0.388
6.650,216.986,0.388
6.667,216.858,0.388
6.683,216.730,0.388
6.700,216.602,0.388
6.717,216.474,0.388
6.733,216.346,0.388
6.750,216.218,0.388
6.767,216.091,0.388
6.783,215.963,0.388
6.800,215.835,0.388
6.817,215.708,0.388
6.833,215.580,0.388
6.850,215.453,0.388
6.867,215.325,0.388
6.883,215.198,0.388
6.900,215.070,0.388
6.917,214.942,0.388
6.933,214.815,0.388
6.950,214.687,0.388
6.967,214.560,0.388
6.983,214.432,0.388
7.000,214.304,0.388
7.017,214.176,0.388
7.033,214.048,0.388
7.050,213.921,0.388
7.067,213.793,0.388
7.083,213.665,0.388
7.100,213.538,0.388
7.117,213.410,0.388
7.133,213.283,0.388
7.150,213.155,0.388
7.167,213.028,0.388
7.183,212.900,0.388
7.200,212.773,0.388
7.217,212.646,0.388
7.233,212.518,0.388
7.250,212.391,0.388
7.267,212.264,0.388
7.283,212.136,0.388
7.300,212.008,0.388
7.317,211.881,0.388
7.333,211.753,0.388
7.350,211.625,0.388
7.367,211.497,0.388
7.383,211.369,0.388
7.400,211.242,0.388
7.417,211.114,0.388
7.433,210.986,0.388
7.450,210.859,0.388
7.467,210.731,0.388
7.483,210.604,0.388
7.500,210.476,0.388
7.517,210.349,0.388
7.533,210.221,0.388
7.550,210.094,0.388
7.567,209.966,0.388
7.583,209.839,0.388
7.600,209.712,0.388
7.617,209.585,0.388
7.633,209.458,0.388
7.650,209.332,0.388
7.667,209.205,0.388
7.683,209.078,0.388
7.700,208.952,0.388
7.717,208.825,0.388
7.733,208.698,0.388
7.750,208.571,0.388
7.767,208.444,0.388
7.783,208.317,0.388
7.800,208.190,0.388
7.817,208.063,0.388
7.833,207.936,0.388
7.850,207.808,0.388
7.867,207.681,0.388
