# Frequency,Velocity,Velstd 
#  coords,(7.0, 11.0),(-1.0, 14.0)
8.000,205.393,0.769
8.017,205.241,0.408
8.033,205.091,0.402
8.050,204.941,0.396
8.067,204.791,0.390
8.083,204.642,0.388
8.100,204.494,0.388
8.117,204.345,0.388
8.133,204.198,0.388
8.150,204.051,0.388
8.167,203.904,0.388
8.183,203.757,0.388
8.200,203.611,0.388
8.217,203.465,0.388
8.233,203.320,0.388
8.250,203.175,0.388
8.267,203.031,0.388
8.283,202.887,0.388
8.300,202.743,0.388
8.317,202.600,0.388
8.333,202.457,0.388
8.350,202.315,0.388
8.367,202.173,0.388
8.383,202.031,0.388
8.400,201.889,0.388
8.417,201.748,0.388
8.433,201.608,0.388
8.450,201.468,0.388
8.467,201.327,0.388
8.483,201.188,0.388
8.500,201.048,0.388
8.517,200.909,0.388
8.533,200.771,0.388
8.550,200.632,0.388
8.567,200.494,0.388
8.583,200.357,0.388
8.600,200.220,0.388
8.617,200.083,0.388
8.633,199.947,0.388
8.650,199.812,0.388
8.667,199.677,0.388
8.683,199.542,0.388
8.700,199.408,0.388
8.717,199.274,0.388
8.733,199.141,0.388
8.750,199.008,0.388
8.767,198.875,0.388
8.783,198.743,0.388
8.800,198.611,0.388
8.817,198.479,0.388
8.833,198.348,0.388
8.850,198.218,0.388
8.867,198.087,0.388
8.883,197.957,0.388
8.900,197.827,0.388
8.917,197.698,0.388
8.933,197.569,0.388
8.950,197.440,0.388
8.967,197.311,0.388
8.983,197.183,0.388
9.000,197.055,0.388
9.017,196.928,0.388
9.033,196.801,0.388
9.050,196.675,0.388
9.067,196.549,0.388
9.083,196.423,0.388
9.100,196.298,0.388
9.117,196.172,0.388
9.133,196.047,0.388
9.150,195.923,0.388
9.167,195.798,0.388
9.183,195.675,0.388
9.200,195.552,0.388
9.217,195.429,0.388
9.233,195.306,0.388
9.250,195.184,0.388
9.267,195.062,0.388
9.283,194.941,0.388
9.300,194.820,0.388
9.317,194.699,0.388
9.333,194.580,0.388
9.350,194.460,0.388
9.367,194.341,0.388
9.383,194.222,0.388
9.400,194.104,0.388
9.417,193.985,0.388
9.433,193.867,0.388
9.450,193.748,0.388
9.467,193.630,0.388
9.483,193.513,0.388
9.500,193.396,0.388
9.517,193.279,0.388
9.533,193.163,0.388
9.550,193.047,0.388
9.567,192.932,0.388
9.583,192.816,0.388
9.600,192.701,0.388
9.617,192.586,0.388
9.633,192.472,0.388
9.650,192.357,0.388
9.667,192.242,0.388
9.683,192.128,0.388
9.700,192.014,0.388
9.717,191.901,0.388
9.733,191.787,0.388
9.750,191.674,0.388
9.767,191.561,0.388
9.783,191.449,0.388
9.800,191.337,0.388
9.817,191.225,0.388
9.833,191.113,0.388
9.850,191.002,0.388
9.867,190.891,0.388
9.883,190.781,0.388
9.900,190.670,0.388
9.917,190.560,0.388
9.933,190.451,0.388
9.950,190.341,0.388
9.967,190.232,0.388
9.983,190.124,0.388
10.000,190.015,0.388
10.017,189.906,0.388
10.033,189.798,0.388
10.050,189.690,0.388
10.067,189.583,0.388
10.083,189.475,0.388
10.100,189.368,0.388
10.117,189.261,0.388
10.133,189.155,0.388
10.150,189.049,0.388
10.167,188.943,0.388
10.183,188.838,0.388
10.200,188.733,0.388
10.217,188.629,0.388
10.233,188.524,0.388
10.250,188.420,0.388
10.267,188.316,0.388
10.283,188.213,0.388
10.300,188.109,0.388
10.317,188.006,0.388
10.333,187.903,0.388
10.350,187.800,0.388
10.367,187.698,0.388
10.383,187.595,0.388
10.400,187.493,0.388
10.417,187.391,0.388
10.433,187.289,0.388
10.450,187.188,0.388
10.467,187.087,0.388
10.483,186.986,0.388
10.500,186.885,0.388
10.517,186.785,0.388
10.533,186.685,0.388
10.550,186.585,0.388
10.567,186.485,0.388
10.583,186.386,0.388
10.600,186.287,0.388
10.617,186.188,0.388
10.633,186.089,0.388
10.650,185.991,0.388
10.667,185.893,0.388
10.683,185.794,0.388
10.700,185.696,0.388
10.717,185.598,0.388
10.733,185.501,0.388
10.750,185.403,0.388
10.767,185.306,0.388
10.783,185.209,0.388
10.800,185.112,0.388
10.817,185.016,0.388
10.833,184.920,0.388
10.850,184.824,0.388
10.867,184.728,0.388
10.883,184.632,0.388
10.900,184.537,0.388
10.917,184.441,0.388
10.933,184.347,0.388
10.950,184.252,0.388
10.967,184.158,0.388
10.983,184.063,0.388
11.000,183.969,0.388
11.017,183.875,0.388
11.033,183.781,0.388
11.050,183.687,0.388
11.067,183.594,0.388
11.083,183.501,0.388
11.100,183.408,0.388
11.117,183.316,0.388
11.133,183.223,0.388
11.150,183.131,0.388
11.167,183.039,0.388
11.183,182.948,0.388
11.200,182.856,0.388
11.217,182.765,0.388
11.233,182.673,0.388
11.250,182.582,0.388
11.267,182.491,0.388
11.283,182.401,0.388
11.300,182.311,0.388
11.317,182.221,0.388
11.333,182.131,0.388
11.350,182.042,0.388
11.367,181.953,0.388
11.383,181.863,0.388
11.400,181.774,0.388
11.417,181.686,0.388
11.433,181.597,0.388
11.450,181.509,0.388
11.467,181.421,0.388
11.483,181.333,0.388
11.500,181.245,0.388
11.517,181.158,0.388
11.533,181.071,0.388
11.550,180.984,0.388
11.567,180.897,0.388
11.583,180.810,0.388
11.600,180.723,0.388
11.617,180.637,0.388
11.633,180.550,0.388
11.650,180.464,0.388
11.667,180.379,0.388
11.683,180.293,0.388
11.700,180.208,0.388
11.717,180.123,0.388
11.733,180.038,0.388
11.750,179.953,0.388
11.767,179.868,0.388
11.783,179.783,0.388
11.800,179.699,0.388
11.817,179.615,0.388
11.833,179.531,0.388
11.850,179.447,0.388
11.867,179.363,0.388
11.883,179.279,0.388
11.900,179.196,0.388
11.917,179.113,0.388
11.933,179.029,0.388
11.950,178.947,0.388
11.967,178.864,0.388
11.983,178.781,0.388
12.000,178.699,0.388
12.017,178.616,0.388
12.033,178.534,0.388
12.050,178.453,0.388
12.067,178.371,0.388
12.083,178.289,0.388
12.100,178.208,0.388
12.117,178.127,0.388
12.133,178.046,0.388
12.150,177.965,0.388
12.167,177.885,0.388
12.183,177.804,0.388
12.200,177.724,0.388
12.217,177.644,0.388
12.233,177.564,0.388
12.250,177.484,0.388
12.267,177.404,0.388
12.283,177.325,0.388
12.300,177.246,0.388
12.317,177.167,0.388
12.333,177.088,0.388
12.350,177.009,0.388
12.367,176.930,0.388
12.383,176.852,0.388
12.400,176.774,0.388
12.417,176.696,0.388
12.433,176.618,0.388
12.450,176.540,0.388
12.467,176.463,0.388
12.483,176.385,0.388
12.500,176.308,0.388
12.517,176.231,0.388
12.533,176.154,0.388
12.550,176.077,0.388
12.567,176.000,0.388
12.583,175.924,0.388
12.600,175.848,0.388
12.617,175.772,0.388
12.633,175.696,0.388
12.650,175.620,0.388
12.667,175.544,0.388
12.683,175.469,0.388
12.700,175.393,0.388
12.717,175.318,0.388
12.733,175.243,0.388
12.750,175.168,0.388
12.767,175.093,0.388
12.783,175.019,0.388
12.800,174.944,0.388
12.817,174.870,0.388
12.833,174.795,0.388
12.850,174.721,0.388
12.867,174.647,0.388
12.883,174.574,0.388
12.900,174.500,0.388
12.917,174.426,0.388
12.933,174.353,0.388
12.950,174.280,0.388
12.967,174.207,0.388
12.983,174.134,0.388
13.000,174.061,0.388
13.017,173.988,0.388
13.033,173.916,0.388
13.050,173.843,0.388
13.067,173.771,0.388
13.083,173.699,0.388
13.100,173.627,0.388
13.117,173.555,0.388
13.133,173.483,0.388
13.150,173.412,0.388
13.167,173.340,0.388
13.183,173.269,0.388
13.200,173.198,0.388
13.217,173.126,0.388
13.233,173.056,0.388
13.250,172.985,0.388
13.267,172.914,0.388
13.283,172.843,0.388
13.300,172.773,0.388
13.317,172.703,0.388
13.333,172.633,0.388
13.350,172.563,0.388
13.367,172.493,0.388
13.383,172.423,0.388
13.400,172.354,0.388
13.417,172.284,0.388
13.433,172.215,0.388
13.450,172.146,0.388
13.467,172.077,0.388
13.483,172.008,0.388
13.500,171.939,0.388
13.517,171.870,0.388
13.533,171.801,0.388
13.550,171.733,0.388
13.567,171.664,0.388
13.583,171.596,0.388
13.600,171.527,0.388
13.617,171.459,0.388
13.633,171.391,0.388
13.650,171.323,0.388
13.667,171.255,0.388
13.683,171.187,0.388
13.700,171.119,0.388
13.717,171.052,0.388
13.733,170.985,0.388
13.750,170.917,0.388
13.767,170.850,0.388
13.783,170.783,0.388
13.800,170.716,0.388
13.817,170.649,0.388
13.833,170.582,0.388
13.850,170.516,0.388
13.867,170.449,0.388
13.883,170.382,0.388
13.900,170.316,0.388
13.917,170.249,0.388
13.933,170.183,0.388
13.950,170.117,0.388
13.967,170.051,0.388
13.983,169.985,0.388
14.000,169.919,0.388
14.017,169.853,0.388
14.033,169.788,0.388
14.050,169.722,0.388
14.067,169.657,0.388
14.083,169.592,0.388
14.100,169.526,0.388
14.117,169.461,0.388
14.133,169.396,0.388
14.150,169.331,0.388
14.167,169.266,0.388
14.183,169.202,0.388
14.200,169.137,0.388
14.217,169.073,0.388
14.233,169.009,0.388
14.250,168.944,0.388
14.267,168.880,0.388
14.283,168.816,0.388
14.300,168.751,0.388
14.317,168.688,0.388
14.333,168.624,0.388
14.350,168.561,0.388
14.367,168.498,0.388
14.383,168.435,0.388
14.400,168.371,0.388
14.417,168.308,0.388
14.433,168.245,0.388
14.450,168.182,0.388
14.467,168.120,0.388
14.483,168.057,0.388
14.500,167.995,0.388
14.517,167.933,0.388
14.533,167.871,0.388
14.550,167.809,0.388
14.567,167.747,0.388
14.583,167.685,0.388
14.600,167.623,0.388
14.617,167.561,0.388
14.633,167.499,0.388
14.650,167.438,0.388
14.667,167.376,0.388
14.683,167.315,0.388
14.700,167.254,0.388
14.717,167.193,0.388
14.733,167.133,0.388
14.750,167.072,0.388
14.767,167.012,0.388
14.783,166.952,0.388
14.800,166.892,0.388
14.817,166.832,0.388
14.833,166.772,0.388
14.850,166.712,0.388
14.867,166.652,0.388
14.883,166.592,0.388
14.900,166.533,0.388
14.917,166.473,0.388
14.933,166.414,0.388
14.950,166.355,0.388
14.967,166.295,0.388
14.983,166.236,0.388
15.000,166.177,0.388
15.017,166.118,0.388
15.033,166.059,0.388
15.050,166.000,0.388
15.067,165.941,0.388
15.083,165.883,0.388
15.100,165.824,0.388
15.117,165.766,0.388
15.133,165.708,0.388
15.150,165.650,0.388
15.167,165.592,0.388
15.183,165.534,0.388
15.200,165.476,0.388
15.217,165.418,0.388
15.233,165.360,0.388
15.250,165.303,0.388
15.267,165.245,0.388
15.283,165.188,0.388
15.300,165.131,0.388
15.317,165.074,0.388
15.333,165.017,0.388
15.350,164.960,0.388
15.367,164.903,0.388
15.383,164.846,0.388
15.400,164.789,0.388
15.417,164.733,0.388
15.433,164.676,0.388
15.450,164.620,0.388
15.467,164.563,0.388
15.483,164.506,0.388
15.500,164.449,0.388
15.517,164.393,0.388
15.533,164.337,0.388
15.550,164.282,0.388
15.567,164.227,0.388
15.583,164.172,0.388
15.600,164.117,0.388
15.617,164.061,0.388
15.633,164.006,0.388
15.650,163.951,0.388
15.667,163.897,0.388
15.683,163.842,0.388
15.700,163.788,0.388
15.717,163.733,0.388
15.733,163.679,0.388
15.750,163.625,0.388
15.767,163.571,0.388
15.783,163.518,0.388
15.800,163.464,0.388
15.817,163.410,0.388
15.833,163.356,0.388
15.850,163.302,0.388
15.867,163.248,0.388
15.883,163.194,0.388
15.900,163.140,0.388
15.917,163.087,0.388
15.933,163.033,0.388
15.950,162.980,0.388
15.967,162.927,0.388
15.983,162.874,0.388
16.000,162.821,0.388
16.017,162.768,0.388
16.033,162.715,0.388
16.050,162.663,0.388
16.067,162.611,0.388
16.083,162.559,0.388
16.100,162.507,0.388
16.117,162.455,0.388
16.133,162.403,0.388
16.150,162.350,0.388
16.167,162.298,0.388
16.183,162.245,0.388
16.200,162.193,0.388
16.217,162.141,0.388
16.233,162.090,0.388
16.250,162.038,0.388
16.267,161.987,0.388
16.283,161.935,0.388
16.300,161.884,0.388
16.317,161.832,0.388
16.333,161.781,0.388
16.350,161.730,0.388
16.367,161.678,0.388
16.383,161.627,0.388
16.400,161.575,0.388
16.417,161.524,0.388
16.433,161.472,0.388
16.450,161.420,0.388
16.467,161.368,0.388
16.483,161.317,0.388
16.500,161.266,0.388
16.517,161.216,0.388
16.533,161.166,0.388
16.550,161.115,0.388
16.567,161.064,0.388
16.583,161.013,0.388
16.600,160.962,0.388
16.617,160.912,0.388
16.633,160.861,0.388
16.650,160.811,0.388
16.667,160.761,0.388
16.683,160.711,0.388
16.700,160.661,0.388
16.717,160.611,0.388
16.733,160.560,0.388
16.750,160.509,0.388
16.767,160.459,0.388
16.783,160.408,0.388
16.800,160.358,0.388
16.817,160.308,0.388
16.833,160.259,0.388
16.850,160.209,0.388
16.867,160.160,0.388
16.883,160.111,0.388
16.900,160.062,0.388
16.917,160.013,0.388
16.933,159.963,0.388
16.950,159.914,0.388
16.967,159.865,0.388
16.983,159.815,0.388
17.000,159.766,0.388
17.017,159.718,0.388
17.033,159.669,0.388
17.050,159.620,0.388
17.067,159.571,0.388
17.083,159.522,0.388
17.100,159.474,0.388
17.117,159.425,0.388
17.133,159.378,0.388
17.150,159.330,0.388
17.167,159.283,0.388
17.183,159.235,0.388
17.200,159.186,0.388
17.217,159.138,0.388
17.233,159.090,0.388
17.250,159.042,0.388
17.267,158.994,0.388
17.283,158.947,0.388
17.300,158.899,0.388
17.317,158.851,0.388
17.333,158.804,0.388
17.350,158.756,0.388
17.367,158.708,0.388
17.383,158.660,0.388
17.400,158.612,0.388
17.417,158.565,0.388
17.433,158.517,0.388
17.450,158.470,0.388
17.467,158.422,0.388
17.483,158.375,0.388
17.500,158.328,0.388
17.517,158.282,0.388
17.533,158.235,0.388
17.550,158.189,0.388
17.567,158.143,0.388
17.583,158.097,0.388
17.600,158.050,0.388
17.617,158.004,0.388
