# Frequency,Velocity,Velstd 
#  coords,(-1.0, 14.0),(16.0, 18.0)
5.300,264.536,0.769
5.317,264.180,0.409
5.333,263.825,0.402
5.350,263.472,0.396
5.367,263.120,0.390
5.383,262.770,0.388
5.400,262.422,0.388
5.417,262.075,0.388
5.433,261.730,0.388
5.450,261.387,0.388
5.467,261.045,0.388
5.483,260.705,0.388
5.500,260.366,0.388
5.517,260.029,0.388
5.533,259.693,0.388
5.550,259.359,0.388
5.567,259.026,0.388
5.583,258.695,0.388
5.600,258.365,0.388
5.617,258.036,0.388
5.633,257.709,0.388
5.650,257.384,0.388
5.667,257.060,0.388
5.683,256.737,0.388
5.700,256.416,0.388
5.717,256.096,0.388
5.733,255.778,0.388
5.750,255.461,0.388
5.767,255.145,0.388
5.783,254.831,0.388
5.800,254.518,0.388
5.817,254.206,0.388
5.833,253.896,0.388
5.850,253.587,0.388
5.867,253.279,0.388
5.883,252.973,0.388
5.900,252.668,0.388
5.917,252.364,0.388
5.933,252.062,0.388
5.950,251.761,0.388
5.967,251.461,0.388
5.983,251.163,0.388
6.000,250.865,0.388
6.017,250.569,0.388
6.033,250.275,0.388
6.050,249.981,0.388
6.067,249.689,0.388
6.083,249.397,0.388
6.100,249.107,0.388
6.117,248.819,0.388
6.133,248.531,0.388
6.150,248.245,0.388
6.167,247.959,0.388
6.183,247.675,0.388
6.200,247.392,0.388
6.217,247.111,0.388
6.233,246.830,0.388
6.250,246.550,0.388
6.267,246.272,0.388
6.283,245.994,0.388
6.300,245.718,0.388
6.317,245.443,0.388
6.333,245.169,0.388
6.350,244.896,0.388
6.367,244.624,0.388
6.383,244.354,0.388
6.400,244.084,0.388
6.417,243.815,0.388
6.433,243.548,0.388
6.450,243.281,0.388
6.467,243.016,0.388
6.483,242.751,0.388
6.500,242.488,0.388
6.517,242.226,0.388
6.533,241.964,0.388
6.550,241.704,0.388
6.567,241.444,0.388
6.583,241.186,0.388
6.600,240.928,0.388
6.617,240.672,0.388
6.633,240.416,0.388
6.650,240.161,0.388
6.667,239.908,0.388
6.683,239.655,0.388
6.700,239.404,0.388
6.717,239.153,0.388
6.733,238.903,0.388
6.750,238.654,0.388
6.767,238.406,0.388
6.783,238.159,0.388
6.800,237.913,0.388
6.817,237.667,0.388
6.833,237.423,0.388
6.850,237.180,0.388
6.867,236.937,0.388
6.883,236.695,0.388
6.900,236.454,0.388
6.917,236.214,0.388
6.933,235.975,0.388
6.950,235.737,0.388
6.967,235.500,0.388
6.983,235.263,0.388
7.000,235.028,0.388
7.017,234.793,0.388
7.033,234.559,0.388
7.050,234.326,0.388
7.067,234.093,0.388
7.083,233.862,0.388
7.100,233.631,0.388
7.117,233.402,0.388
7.133,233.173,0.388
7.150,232.944,0.388
7.167,232.717,0.388
7.183,232.490,0.388
7.200,232.265,0.388
7.217,232.040,0.388
7.233,231.815,0.388
7.250,231.592,0.388
7.267,231.369,0.388
7.283,231.147,0.388
7.300,230.926,0.388
7.317,230.706,0.388
7.333,230.486,0.388
7.350,230.267,0.388
7.367,230.049,0.388
7.383,229.832,0.388
7.400,229.615,0.388
7.417,229.399,0.388
7.433,229.184,0.388
7.450,228.969,0.388
7.467,228.756,0.388
7.483,228.543,0.388
7.500,228.330,0.388
7.517,228.119,0.388
7.533,227.908,0.388
7.550,227.698,0.388
7.567,227.488,0.388
7.583,227.279,0.388
7.600,227.071,0.388
7.617,226.864,0.388
7.633,226.657,0.388
7.650,226.451,0.388
7.667,226.245,0.388
7.683,226.041,0.388
7.700,225.836,0.388
7.717,225.633,0.388
7.733,225.430,0.388
7.750,225.228,0.388
7.767,225.027,0.388
7.783,224.826,0.388
7.800,224.626,0.388
7.817,224.426,0.388
7.833,224.227,0.388
7.850,224.029,0.388
7.867,223.831,0.388
7.883,223.634,0.388
7.900,223.438,0.388
7.917,223.242,0.388
7.933,223.047,0.388
7.950,222.852,0.388
7.967,222.658,0.388
7.983,222.465,0.388
8.000,222.272,0.388
8.017,222.080,0.388
8.033,221.888,0.388
8.050,221.697,0.388
8.067,221.507,0.388
8.083,221.317,0.388
8.100,221.128,0.388
8.117,220.939,0.388
8.133,220.751,0.388
8.150,220.563,0.388
8.167,220.376,0.388
8.183,220.190,0.388
8.200,220.004,0.388
8.217,219.819,0.388
8.233,219.634,0.388
8.250,219.450,0.388
8.267,219.266,0.388
8.283,219.083,0.388
8.300,218.900,0.388
8.317,218.718,0.388
8.333,218.537,0.388
8.350,218.356,0.388
8.367,218.175,0.388
8.383,217.996,0.388
8.400,217.816,0.388
8.417,217.638,0.388
8.433,217.459,0.388
8.450,217.282,0.388
8.467,217.104,0.388
8.483,216.928,0.388
8.500,216.751,0.388
8.517,216.576,0.388
8.533,216.400,0.388
8.550,216.226,0.388
8.567,216.052,0.388
8.583,215.878,0.388
8.600,215.705,0.388
8.617,215.532,0.388
8.633,215.360,0.388
8.650,215.188,0.388
8.667,215.017,0.388
8.683,214.846,0.388
8.700,214.676,0.388
8.717,214.506,0.388
8.733,214.337,0.388
8.750,214.168,0.388
8.767,213.999,0.388
8.783,213.831,0.388
8.800,213.664,0.388
8.817,213.497,0.388
8.833,213.331,0.388
8.850,213.165,0.388
8.867,212.999,0.388
8.883,212.834,0.388
8.900,212.669,0.388
8.917,212.505,0.388
8.933,212.342,0.388
8.950,212.179,0.388
8.967,212.016,0.388
8.983,211.854,0.388
9.000,211.692,0.388
9.017,211.531,0.388
9.033,211.370,0.388
9.050,211.210,0.388
9.067,211.050,0.388
9.083,210.890,0.388
9.100,210.731,0.388
9.117,210.572,0.388
9.133,210.413,0.388
9.150,210.256,0.388
9.167,210.098,0.388
9.183,209.941,0.388
9.200,209.785,0.388
9.217,209.629,0.388
9.233,209.473,0.388
9.250,209.318,0.388
9.267,209.163,0.388
9.283,209.008,0.388
9.300,208.854,0.388
9.317,208.700,0.388
9.333,208.547,0.388
9.350,208.394,0.388
9.367,208.242,0.388
9.383,208.090,0.388
9.400,207.938,0.388
9.417,207.787,0.388
9.433,207.636,0.388
9.450,207.486,0.388
9.467,207.336,0.388
9.483,207.186,0.388
9.500,207.037,0.388
9.517,206.888,0.388
9.533,206.740,0.388
9.550,206.592,0.388
9.567,206.445,0.388
9.583,206.297,0.388
9.600,206.151,0.388
9.617,206.005,0.388
9.633,205.859,0.388
9.650,205.713,0.388
9.667,205.568,0.388
9.683,205.423,0.388
9.700,205.279,0.388
9.717,205.134,0.388
9.733,204.990,0.388
9.750,204.847,0.388
9.767,204.704,0.388
9.783,204.562,0.388
9.800,204.420,0.388
9.817,204.278,0.388
9.833,204.136,0.388
9.850,203.996,0.388
9.867,203.855,0.388
9.883,203.715,0.388
9.900,203.575,0.388
9.917,203.436,0.388
9.933,203.297,0.388
9.950,203.158,0.388
9.967,203.019,0.388
9.983,202.881,0.388
10.000,202.743,0.388
10.017,202.605,0.388
10.033,202.468,0.388
10.050,202.331,0.388
10.067,202.194,0.388
10.083,202.058,0.388
10.100,201.922,0.388
10.117,201.787,0.388
10.133,201.651,0.388
10.150,201.516,0.388
10.167,201.382,0.388
10.183,201.248,0.388
10.200,201.114,0.388
10.217,200.980,0.388
10.233,200.846,0.388
10.250,200.713,0.388
10.267,200.580,0.388
10.283,200.447,0.388
10.300,200.315,0.388
10.317,200.183,0.388
10.333,200.052,0.388
10.350,199.921,0.388
10.367,199.790,0.388
10.383,199.660,0.388
10.400,199.530,0.388
10.417,199.400,0.388
10.433,199.271,0.388
10.450,199.142,0.388
10.467,199.013,0.388
10.483,198.884,0.388
10.500,198.756,0.388
10.517,198.628,0.388
10.533,198.501,0.388
10.550,198.374,0.388
10.567,198.247,0.388
10.583,198.121,0.388
10.600,197.995,0.388
10.617,197.869,0.388
10.633,197.744,0.388
10.650,197.619,0.388
10.667,197.493,0.388
10.683,197.369,0.388
10.700,197.244,0.388
10.717,197.120,0.388
10.733,196.996,0.388
10.750,196.872,0.388
10.767,196.749,0.388
10.783,196.625,0.388
10.800,196.503,0.388
10.817,196.380,0.388
10.833,196.258,0.388
10.850,196.136,0.388
10.867,196.015,0.388
10.883,195.893,0.388
10.900,195.772,0.388
10.917,195.651,0.388
10.933,195.531,0.388
10.950,195.411,0.388
10.967,195.291,0.388
10.983,195.171,0.388
11.000,195.052,0.388
11.017,194.933,0.388
11.033,194.814,0.388
11.050,194.695,0.388
11.067,194.577,0.388
11.083,194.459,0.388
11.100,194.341,0.388
11.117,194.224,0.388
11.133,194.106,0.388
11.150,193.989,0.388
11.167,193.873,0.388
11.183,193.756,0.388
11.200,193.640,0.388
11.217,193.524,0.388
11.233,193.409,0.388
11.250,193.294,0.388
11.267,193.179,0.388
11.283,193.064,0.388
11.300,192.949,0.388
11.317,192.835,0.388
11.333,192.721,0.388
11.350,192.607,0.388
11.367,192.493,0.388
11.383,192.380,0.388
11.400,192.267,0.388
11.417,192.154,0.388
11.433,192.041,0.388
11.450,191.929,0.388
11.467,191.817,0.388
11.483,191.705,0.388
11.500,191.593,0.388
11.517,191.482,0.388
11.533,191.371,0.388
11.550,191.260,0.388
11.567,191.149,0.388
11.583,191.039,0.388
