# Frequency,Velocity,Velstd 
#  coords,(12.8, -12.0),(0.45, -0.08000000000000007)
5.000,246.148,0.769
5.022,245.642,0.409
5.044,245.138,0.402
5.067,244.638,0.396
5.089,244.141,0.390
5.111,243.647,0.388
5.133,243.157,0.388
5.156,242.670,0.388
5.178,242.186,0.388
5.200,241.705,0.388
5.222,241.227,0.388
5.244,240.752,0.388
5.267,240.281,0.388
5.289,239.812,0.388
5.311,239.346,0.388
5.333,238.883,0.388
5.356,238.423,0.388
5.378,237.965,0.388
5.400,237.511,0.388
5.422,237.059,0.388
5.444,236.610,0.388
5.467,236.164,0.388
5.489,235.720,0.388
5.511,235.279,0.388
5.533,234.841,0.388
5.556,234.406,0.388
5.578,233.973,0.388
5.600,233.543,0.388
5.622,233.115,0.388
5.644,232.690,0.388
5.667,232.267,0.388
5.689,231.846,0.388
5.711,231.428,0.388
5.733,231.013,0.388
5.756,230.600,0.388
5.778,230.189,0.388
5.800,229.781,0.388
5.822,229.375,0.388
5.844,228.971,0.388
5.867,228.570,0.388
5.889,228.170,0.388
5.911,227.774,0.388
5.933,227.379,0.388
5.956,226.986,0.388
5.978,226.596,0.388
6.000,226.208,0.388
6.022,225.822,0.388
6.044,225.438,0.388
6.067,225.057,0.388
6.089,224.677,0.388
6.111,224.299,0.388
6.133,223.923,0.388
6.156,223.549,0.388
6.178,223.178,0.388
6.200,222.808,0.388
6.222,222.441,0.388
6.244,222.075,0.388
6.267,221.712,0.388
6.289,221.350,0.388
6.311,220.990,0.388
6.333,220.632,0.388
6.356,220.276,0.388
6.378,219.922,0.388
6.400,219.570,0.388
6.422,219.219,0.388
6.444,218.870,0.388
6.467,218.523,0.388
6.489,218.178,0.388
6.511,217.834,0.388
6.533,217.492,0.388
6.556,217.152,0.388
6.578,216.814,0.388
6.600,216.478,0.388
6.622,216.143,0.388
6.644,215.810,0.388
6.667,215.478,0.388
6.689,215.149,0.388
6.711,214.820,0.388
6.733,214.494,0.388
6.756,214.169,0.388
6.778,213.846,0.388
6.800,213.524,0.388
6.822,213.204,0.388
6.844,212.886,0.388
6.867,212.569,0.388
6.889,212.253,0.388
6.911,211.939,0.388
6.933,211.627,0.388
6.956,211.315,0.388
6.978,211.006,0.388
7.000,210.698,0.388
7.022,210.391,0.388
7.044,210.086,0.388
7.067,209.782,0.388
7.089,209.480,0.388
7.111,209.179,0.388
7.133,208.880,0.388
7.156,208.581,0.388
7.178,208.285,0.388
7.200,207.989,0.388
7.222,207.695,0.388
7.244,207.403,0.388
7.267,207.112,0.388
7.289,206.822,0.388
7.311,206.533,0.388
7.333,206.246,0.388
7.356,205.960,0.388
7.378,205.675,0.388
7.400,205.392,0.388
7.422,205.109,0.388
7.444,204.829,0.388
7.467,204.549,0.388
7.489,204.271,0.388
7.511,203.994,0.388
7.533,203.718,0.388
7.556,203.443,0.388
7.578,203.170,0.388
7.600,202.898,0.388
7.622,202.627,0.388
7.644,202.357,0.388
7.667,202.088,0.388
7.689,201.821,0.388
7.711,201.554,0.388
7.733,201.289,0.388
7.756,201.025,0.388
7.778,200.762,0.388
7.800,200.500,0.388
7.822,200.240,0.388
7.844,199.980,0.388
7.867,199.722,0.388
7.889,199.464,0.388
7.911,199.208,0.388
7.933,198.953,0.388
7.956,198.698,0.388
7.978,198.445,0.388
8.000,198.193,0.388
8.022,197.942,0.388
8.044,197.692,0.388
8.067,197.444,0.388
8.089,197.196,0.388
8.111,196.950,0.388
8.133,196.704,0.388
8.156,196.459,0.388
8.178,196.215,0.388
8.200,195.973,0.388
8.222,195.731,0.388
8.244,195.490,0.388
8.267,195.251,0.388
8.289,195.012,0.388
8.311,194.774,0.388
8.333,194.537,0.388
8.356,194.301,0.388
8.378,194.066,0.388
8.400,193.832,0.388
8.422,193.599,0.388
8.444,193.368,0.388
8.467,193.136,0.388
8.489,192.906,0.388
8.511,192.677,0.388
8.533,192.449,0.388
8.556,192.221,0.388
8.578,191.995,0.388
8.600,191.770,0.388
8.622,191.545,0.388
8.644,191.321,0.388
8.667,191.097,0.388
8.689,190.874,0.388
8.711,190.652,0.388
8.733,190.431,0.388
8.756,190.211,0.388
8.778,189.992,0.388
8.800,189.774,0.388
8.822,189.557,0.388
8.844,189.340,0.388
8.867,189.124,0.388
8.889,188.909,0.388
8.911,188.695,0.388
8.933,188.482,0.388
8.956,188.269,0.388
8.978,188.058,0.388
9.000,187.847,0.388
9.022,187.637,0.388
9.044,187.427,0.388
9.067,187.218,0.388
9.089,187.010,0.388
9.111,186.803,0.388
9.133,186.597,0.388
9.156,186.391,0.388
9.178,186.186,0.388
9.200,185.982,0.388
9.222,185.779,0.388
9.244,185.577,0.388
9.267,185.375,0.388
9.289,185.174,0.388
9.311,184.974,0.388
9.333,184.774,0.388
9.356,184.575,0.388
9.378,184.377,0.388
9.400,184.179,0.388
9.422,183.981,0.388
9.444,183.784,0.388
9.467,183.588,0.388
9.489,183.393,0.388
9.511,183.199,0.388
9.533,183.005,0.388
9.556,182.812,0.388
9.578,182.619,0.388
9.600,182.427,0.388
9.622,182.236,0.388
9.644,182.046,0.388
9.667,181.855,0.388
9.689,181.666,0.388
9.711,181.477,0.388
9.733,181.289,0.388
9.756,181.102,0.388
9.778,180.915,0.388
9.800,180.728,0.388
9.822,180.542,0.388
9.844,180.357,0.388
9.867,180.173,0.388
9.889,179.989,0.388
9.911,179.806,0.388
9.933,179.624,0.388
9.956,179.443,0.388
9.978,179.263,0.388
10.000,179.083,0.388
10.022,178.903,0.388
10.044,178.724,0.388
10.067,178.546,0.388
10.089,178.368,0.388
10.111,178.190,0.388
10.133,178.014,0.388
10.156,177.837,0.388
10.178,177.662,0.388
10.200,177.487,0.388
10.222,177.313,0.388
10.244,177.139,0.388
10.267,176.966,0.388
10.289,176.793,0.388
10.311,176.621,0.388
10.333,176.449,0.388
10.356,176.278,0.388
10.378,176.107,0.388
10.400,175.937,0.388
10.422,175.768,0.388
10.444,175.599,0.388
10.467,175.431,0.388
10.489,175.263,0.388
10.511,175.096,0.388
10.533,174.930,0.388
10.556,174.765,0.388
10.578,174.599,0.388
10.600,174.434,0.388
10.622,174.269,0.388
10.644,174.105,0.388
10.667,173.941,0.388
10.689,173.778,0.388
10.711,173.616,0.388
10.733,173.454,0.388
10.756,173.292,0.388
10.778,173.131,0.388
10.800,172.971,0.388
10.822,172.811,0.388
10.844,172.651,0.388
10.867,172.492,0.388
10.889,172.333,0.388
10.911,172.175,0.388
10.933,172.018,0.388
10.956,171.861,0.388
10.978,171.704,0.388
11.000,171.548,0.388
11.022,171.392,0.388
11.044,171.237,0.388
11.067,171.082,0.388
11.089,170.928,0.388
11.111,170.774,0.388
11.133,170.621,0.388
11.156,170.468,0.388
11.178,170.316,0.388
11.200,170.164,0.388
11.222,170.012,0.388
11.244,169.861,0.388
11.267,169.710,0.388
11.289,169.560,0.388
11.311,169.411,0.388
11.333,169.261,0.388
11.356,169.112,0.388
11.378,168.964,0.388
11.400,168.816,0.388
11.422,168.668,0.388
11.444,168.521,0.388
11.467,168.374,0.388
11.489,168.228,0.388
11.511,168.082,0.388
11.533,167.936,0.388
11.556,167.791,0.388
11.578,167.646,0.388
11.600,167.502,0.388
11.622,167.358,0.388
11.644,167.215,0.388
11.667,167.071,0.388
11.689,166.928,0.388
11.711,166.786,0.388
11.733,166.644,0.388
11.756,166.502,0.388
11.778,166.361,0.388
11.800,166.220,0.388
11.822,166.080,0.388
11.844,165.940,0.388
11.867,165.800,0.388
11.889,165.660,0.388
11.911,165.521,0.388
11.933,165.382,0.388
11.956,165.244,0.388
11.978,165.106,0.388
12.000,164.969,0.388
12.022,164.832,0.388
12.044,164.695,0.388
12.067,164.558,0.388
12.089,164.422,0.388
12.111,164.285,0.388
12.133,164.150,0.388
12.156,164.014,0.388
12.178,163.880,0.388
12.200,163.745,0.388
12.222,163.611,0.388
12.244,163.478,0.388
12.267,163.344,0.388
12.289,163.211,0.388
12.311,163.078,0.388
12.333,162.945,0.388
12.356,162.813,0.388
12.378,162.682,0.388
12.400,162.550,0.388
12.422,162.419,0.388
