# Frequency,Velocity,Velstd 
#  coords,(24.15, -0.08000000000000007),(1.45, 11.84)
2.000,223.201,0.769
2.022,222.386,0.409
2.044,221.585,0.402
2.067,220.796,0.396
2.089,220.020,0.390
2.111,219.257,0.388
2.133,218.505,0.388
2.156,217.765,0.388
2.178,217.036,0.388
2.200,216.318,0.388
2.222,215.611,0.388
2.244,214.914,0.388
2.267,214.228,0.388
2.289,213.551,0.388
2.311,212.885,0.388
2.333,212.228,0.388
2.356,211.580,0.388
2.378,210.941,0.388
2.400,210.311,0.388
2.422,209.690,0.388
2.444,209.078,0.388
2.467,208.474,0.388
2.489,207.878,0.388
2.511,207.290,0.388
2.533,206.709,0.388
2.556,206.136,0.388
2.578,205.571,0.388
2.600,205.012,0.388
2.622,204.461,0.388
2.644,203.917,0.388
2.667,203.379,0.388
2.689,202.848,0.388
2.711,202.324,0.388
2.733,201.806,0.388
2.756,201.295,0.388
2.778,200.789,0.388
2.800,200.290,0.388
2.822,199.797,0.388
2.844,199.309,0.388
2.867,198.828,0.388
2.889,198.352,0.388
2.911,197.881,0.388
2.933,197.415,0.388
2.956,196.955,0.388
2.978,196.500,0.388
3.000,196.050,0.388
3.022,195.605,0.388
3.044,195.165,0.388
3.067,194.729,0.388
3.089,194.299,0.388
3.111,193.873,0.388
3.133,193.451,0.388
3.156,193.034,0.388
3.178,192.622,0.388
3.200,192.213,0.388
3.222,191.809,0.388
3.244,191.410,0.388
3.267,191.014,0.388
3.289,190.622,0.388
3.311,190.235,0.388
3.333,189.851,0.388
3.356,189.472,0.388
3.378,189.096,0.388
3.400,188.723,0.388
3.422,188.354,0.388
3.444,187.989,0.388
3.467,187.627,0.388
3.489,187.269,0.388
3.511,186.914,0.388
3.533,186.563,0.388
3.556,186.214,0.388
3.578,185.869,0.388
3.600,185.528,0.388
3.622,185.189,0.388
3.644,184.854,0.388
3.667,184.521,0.388
3.689,184.192,0.388
3.711,183.865,0.388
3.733,183.542,0.388
3.756,183.221,0.388
3.778,182.903,0.388
3.800,182.588,0.388
3.822,182.276,0.388
3.844,181.967,0.388
3.867,181.660,0.388
3.889,181.355,0.388
3.911,181.054,0.388
3.933,180.755,0.388
3.956,180.458,0.388
3.978,180.164,0.388
4.000,179.872,0.388
4.022,179.582,0.388
4.044,179.295,0.388
4.067,179.011,0.388
4.089,178.728,0.388
4.111,178.448,0.388
4.133,178.170,0.388
4.156,177.895,0.388
4.178,177.622,0.388
4.200,177.350,0.388
4.222,177.081,0.388
4.244,176.814,0.388
4.267,176.549,0.388
4.289,176.287,0.388
4.311,176.026,0.388
4.333,175.767,0.388
4.356,175.510,0.388
4.378,175.255,0.388
4.400,175.002,0.388
4.422,174.751,0.388
4.444,174.501,0.388
4.467,174.254,0.388
4.489,174.008,0.388
4.511,173.764,0.388
4.533,173.522,0.388
4.556,173.282,0.388
4.578,173.043,0.388
4.600,172.806,0.388
4.622,172.571,0.388
4.644,172.338,0.388
4.667,172.106,0.388
4.689,171.876,0.388
4.711,171.648,0.388
4.733,171.422,0.388
4.756,171.197,0.388
4.778,170.974,0.388
4.800,170.752,0.388
4.822,170.532,0.388
4.844,170.313,0.388
4.867,170.096,0.388
4.889,169.880,0.388
4.911,169.666,0.388
4.933,169.453,0.388
4.956,169.242,0.388
4.978,169.032,0.388
5.000,168.824,0.388
5.022,168.617,0.388
5.044,168.411,0.388
5.067,168.208,0.388
5.089,168.005,0.388
5.111,167.804,0.388
5.133,167.604,0.388
5.156,167.406,0.388
5.178,167.208,0.388
5.200,167.012,0.388
5.222,166.817,0.388
5.244,166.623,0.388
5.267,166.430,0.388
5.289,166.239,0.388
5.311,166.049,0.388
5.333,165.860,0.388
5.356,165.672,0.388
5.378,165.486,0.388
5.400,165.301,0.388
5.422,165.117,0.388
5.444,164.935,0.388
5.467,164.753,0.388
5.489,164.572,0.388
5.511,164.393,0.388
5.533,164.215,0.388
5.556,164.038,0.388
5.578,163.861,0.388
5.600,163.686,0.388
5.622,163.512,0.388
5.644,163.339,0.388
5.667,163.167,0.388
5.689,162.996,0.388
5.711,162.826,0.388
5.733,162.657,0.388
5.756,162.489,0.388
5.778,162.322,0.388
5.800,162.156,0.388
5.822,161.990,0.388
5.844,161.826,0.388
5.867,161.662,0.388
5.889,161.499,0.388
5.911,161.337,0.388
5.933,161.176,0.388
5.956,161.016,0.388
5.978,160.857,0.388
6.000,160.699,0.388
6.022,160.541,0.388
6.044,160.384,0.388
6.067,160.229,0.388
6.089,160.074,0.388
6.111,159.919,0.388
6.133,159.766,0.388
6.156,159.613,0.388
6.178,159.461,0.388
6.200,159.310,0.388
6.222,159.160,0.388
6.244,159.010,0.388
6.267,158.860,0.388
6.289,158.712,0.388
6.311,158.564,0.388
6.333,158.417,0.388
6.356,158.271,0.388
6.378,158.125,0.388
6.400,157.980,0.388
6.422,157.836,0.388
6.444,157.693,0.388
6.467,157.551,0.388
6.489,157.409,0.388
6.511,157.268,0.388
6.533,157.127,0.388
6.556,156.988,0.388
6.578,156.848,0.388
6.600,156.710,0.388
6.622,156.572,0.388
6.644,156.435,0.388
6.667,156.299,0.388
6.689,156.163,0.388
6.711,156.028,0.388
6.733,155.893,0.388
6.756,155.759,0.388
6.778,155.626,0.388
6.800,155.494,0.388
6.822,155.362,0.388
6.844,155.230,0.388
6.867,155.100,0.388
6.889,154.970,0.388
6.911,154.840,0.388
6.933,154.712,0.388
6.956,154.584,0.388
6.978,154.456,0.388
7.000,154.330,0.388
7.022,154.204,0.388
7.044,154.078,0.388
7.067,153.953,0.388
7.089,153.829,0.388
7.111,153.706,0.388
7.133,153.583,0.388
7.156,153.460,0.388
7.178,153.339,0.388
7.200,153.218,0.388
7.222,153.098,0.388
7.244,152.978,0.388
7.267,152.859,0.388
7.289,152.740,0.388
7.311,152.622,0.388
7.333,152.505,0.388
7.356,152.388,0.388
7.378,152.272,0.388
7.400,152.156,0.388
7.422,152.041,0.388
7.444,151.927,0.388
7.467,151.813,0.388
7.489,151.700,0.388
7.511,151.587,0.388
7.533,151.474,0.388
7.556,151.362,0.388
7.578,151.251,0.388
7.600,151.140,0.388
7.622,151.030,0.388
7.644,150.920,0.388
7.667,150.811,0.388
7.689,150.702,0.388
7.711,150.594,0.388
7.733,150.486,0.388
7.756,150.379,0.388
7.778,150.272,0.388
7.800,150.165,0.388
7.822,150.059,0.388
7.844,149.954,0.388
7.867,149.848,0.388
7.889,149.744,0.388
7.911,149.639,0.388
7.933,149.535,0.388
7.956,149.432,0.388
7.978,149.329,0.388
8.000,149.227,0.388
8.022,149.125,0.388
8.044,149.023,0.388
8.067,148.921,0.388
8.089,148.820,0.388
8.111,148.719,0.388
8.133,148.619,0.388
8.156,148.519,0.388
8.178,148.420,0.388
8.200,148.321,0.388
8.222,148.222,0.388
8.244,148.124,0.388
8.267,148.027,0.388
8.289,147.929,0.388
8.311,147.832,0.388
8.333,147.736,0.388
8.356,147.639,0.388
8.378,147.544,0.388
8.400,147.448,0.388
8.422,147.353,0.388
8.444,147.258,0.388
8.467,147.163,0.388
8.489,147.068,0.388
8.511,146.974,0.388
8.533,146.880,0.388
8.556,146.787,0.388
8.578,146.694,0.388
8.600,146.601,0.388
8.622,146.509,0.388
8.644,146.417,0.388
8.667,146.325,0.388
8.689,146.234,0.388
8.711,146.143,0.388
8.733,146.052,0.388
8.756,145.962,0.388
8.778,145.873,0.388
8.800,145.783,0.388
8.822,145.695,0.388
8.844,145.606,0.388
8.867,145.518,0.388
8.889,145.431,0.388
8.911,145.344,0.388
8.933,145.257,0.388
8.956,145.170,0.388
8.978,145.084,0.388
9.000,144.999,0.388
9.022,144.913,0.388
9.044,144.828,0.388
9.067,144.744,0.388
9.089,144.660,0.388
9.111,144.576,0.388
9.133,144.492,0.388
9.156,144.409,0.388
9.178,144.326,0.388
9.200,144.243,0.388
9.222,144.161,0.388
9.244,144.079,0.388
9.267,143.997,0.388
9.289,143.915,0.388
9.311,143.834,0.388
9.333,143.753,0.388
9.356,143.673,0.388
9.378,143.593,0.388
9.400,143.513,0.388
9.422,143.433,0.388
9.444,143.353,0.388
9.467,143.274,0.388
9.489,143.195,0.388
9.511,143.116,0.388
9.533,143.037,0.388
9.556,142.959,0.388
9.578,142.881,0.388
9.600,142.803,0.388
9.622,142.725,0.388
9.644,142.647,0.388
9.667,142.570,0.388
9.689,142.493,0.388
9.711,142.416,0.388
9.733,142.340,0.388
9.756,142.263,0.388
9.778,142.186,0.388
9.800,142.109,0.388
9.822,142.033,0.388
9.844,141.956,0.388
9.867,141.880,0.388
