# Frequency,Velocity,Velstd 
#  coords,(1.45, 11.84),(24.15, -0.08000000000000007)
2.000,224.428,0.769
2.022,224.300,0.409
2.044,224.172,0.402
2.067,224.043,0.396
2.089,223.915,0.390
2.111,223.787,0.388
2.133,223.658,0.388
2.156,223.530,0.388
2.178,223.402,0.388
2.200,223.274,0.388
2.222,223.146,0.388
2.244,223.018,0.388
2.267,222.890,0.388
2.289,222.761,0.388
2.311,222.633,0.388
2.333,222.504,0.388
2.356,222.376,0.388
2.378,222.247,0.388
2.400,222.119,0.388
2.422,221.991,0.388
2.444,221.863,0.388
2.467,221.735,0.388
2.489,221.607,0.388
2.511,221.479,0.388
2.533,221.351,0.388
2.556,221.223,0.388
2.578,221.095,0.388
2.600,220.967,0.388
2.622,220.840,0.388
2.644,220.712,0.388
2.667,220.584,0.388
2.689,220.456,0.388
2.711,220.328,0.388
2.733,220.200,0.388
2.756,220.072,0.388
2.778,219.944,0.388
2.800,219.816,0.388
2.822,219.688,0.388
2.844,219.560,0.388
2.867,219.432,0.388
2.889,219.305,0.388
2.911,219.177,0.388
2.933,219.050,0.388
2.956,218.923,0.388
2.978,218.795,0.388
3.000,218.668,0.388
3.022,218.540,0.388
3.044,218.412,0.388
3.067,218.284,0.388
3.089,218.156,0.388
3.111,218.028,0.388
3.133,217.901,0.388
3.156,217.773,0.388
3.178,217.646,0.388
3.200,217.519,0.388
3.222,217.391,0.388
3.244,217.263,0.388
3.267,217.135,0.388
3.289,217.007,0.388
3.311,216.879,0.388
3.333,216.751,0.388
3.356,216.622,0.388
3.378,216.494,0.388
3.400,216.367,0.388
3.422,216.239,0.388
3.444,216.111,0.388
3.467,215.983,0.388
3.489,215.855,0.388
3.511,215.727,0.388
3.533,215.599,0.388
3.556,215.471,0.388
3.578,215.342,0.388
3.600,215.214,0.388
3.622,215.086,0.388
3.644,214.958,0.388
3.667,214.830,0.388
3.689,214.703,0.388
3.711,214.576,0.388
3.733,214.448,0.388
3.756,214.320,0.388
3.778,214.193,0.388
3.800,214.065,0.388
3.822,213.938,0.388
3.844,213.810,0.388
3.867,213.683,0.388
3.889,213.556,0.388
3.911,213.428,0.388
3.933,213.301,0.388
3.956,213.173,0.388
3.978,213.045,0.388
4.000,212.918,0.388
4.022,212.790,0.388
4.044,212.663,0.388
4.067,212.535,0.388
4.089,212.408,0.388
4.111,212.280,0.388
4.133,212.153,0.388
4.156,212.025,0.388
4.178,211.898,0.388
4.200,211.770,0.388
4.222,211.643,0.388
4.244,211.515,0.388
4.267,211.387,0.388
4.289,211.258,0.388
4.311,211.130,0.388
4.333,211.003,0.388
4.356,210.875,0.388
4.378,210.748,0.388
4.400,210.620,0.388
4.422,210.492,0.388
4.444,210.365,0.388
4.467,210.237,0.388
4.489,210.110,0.388
4.511,209.982,0.388
4.533,209.854,0.388
4.556,209.727,0.388
4.578,209.599,0.388
4.600,209.472,0.388
4.622,209.344,0.388
4.644,209.216,0.388
4.667,209.089,0.388
4.689,208.961,0.388
4.711,208.834,0.388
4.733,208.706,0.388
4.756,208.578,0.388
4.778,208.450,0.388
4.800,208.322,0.388
4.822,208.195,0.388
4.844,208.067,0.388
4.867,207.939,0.388
4.889,207.811,0.388
4.911,207.683,0.388
4.933,207.555,0.388
4.956,207.427,0.388
4.978,207.299,0.388
5.000,207.171,0.388
5.022,207.043,0.388
5.044,206.916,0.388
5.067,206.788,0.388
5.089,206.660,0.388
5.111,206.532,0.388
5.133,206.404,0.388
5.156,206.276,0.388
5.178,206.148,0.388
5.200,206.021,0.388
5.222,205.893,0.388
5.244,205.765,0.388
5.267,205.637,0.388
5.289,205.509,0.388
5.311,205.381,0.388
5.333,205.254,0.388
5.356,205.126,0.388
5.378,204.997,0.388
5.400,204.869,0.388
5.422,204.741,0.388
5.444,204.613,0.388
5.467,204.485,0.388
5.489,204.357,0.388
5.511,204.229,0.388
5.533,204.101,0.388
5.556,203.973,0.388
5.578,203.846,0.388
5.600,203.718,0.388
5.622,203.589,0.388
5.644,203.461,0.388
5.667,203.333,0.388
5.689,203.206,0.388
5.711,203.078,0.388
5.733,202.951,0.388
5.756,202.823,0.388
5.778,202.696,0.388
5.800,202.569,0.388
5.822,202.442,0.388
5.844,202.314,0.388
5.867,202.187,0.388
5.889,202.059,0.388
5.911,201.932,0.388
5.933,201.805,0.388
5.956,201.678,0.388
5.978,201.551,0.388
6.000,201.424,0.388
6.022,201.296,0.388
6.044,201.168,0.388
6.067,201.041,0.388
6.089,200.913,0.388
6.111,200.786,0.388
6.133,200.659,0.388
6.156,200.532,0.388
6.178,200.405,0.388
6.200,200.278,0.388
6.222,200.151,0.388
6.244,200.024,0.388
6.267,199.896,0.388
6.289,199.768,0.388
6.311,199.641,0.388
6.333,199.513,0.388
6.356,199.385,0.388
6.378,199.258,0.388
6.400,199.131,0.388
6.422,199.003,0.388
6.444,198.876,0.388
6.467,198.748,0.388
6.489,198.620,0.388
6.511,198.491,0.388
6.533,198.363,0.388
6.556,198.235,0.388
6.578,198.107,0.388
6.600,197.979,0.388
6.622,197.851,0.388
6.644,197.722,0.388
6.667,197.594,0.388
6.689,197.465,0.388
6.711,197.337,0.388
6.733,197.209,0.388
6.756,197.081,0.388
6.778,196.953,0.388
6.800,196.825,0.388
6.822,196.697,0.388
6.844,196.570,0.388
6.867,196.442,0.388
6.889,196.314,0.388
6.911,196.186,0.388
6.933,196.059,0.388
6.956,195.931,0.388
6.978,195.803,0.388
7.000,195.676,0.388
7.022,195.548,0.388
7.044,195.420,0.388
7.067,195.292,0.388
7.089,195.164,0.388
7.111,195.035,0.388
7.133,194.907,0.388
7.156,194.779,0.388
7.178,194.651,0.388
7.200,194.523,0.388
7.222,194.395,0.388
7.244,194.267,0.388
7.267,194.139,0.388
7.289,194.011,0.388
7.311,193.882,0.388
7.333,193.754,0.388
7.356,193.626,0.388
7.378,193.498,0.388
7.400,193.370,0.388
7.422,193.243,0.388
7.444,193.116,0.388
7.467,192.989,0.388
7.489,192.863,0.388
7.511,192.735,0.388
7.533,192.608,0.388
7.556,192.480,0.388
7.578,192.352,0.388
7.600,192.225,0.388
7.622,192.098,0.388
7.644,191.971,0.388
7.667,191.844,0.388
7.689,191.717,0.388
7.711,191.590,0.388
7.733,191.463,0.388
7.756,191.336,0.388
7.778,191.209,0.388
7.800,191.081,0.388
7.822,190.954,0.388
7.844,190.826,0.388
7.867,190.699,0.388
7.889,190.572,0.388
7.911,190.444,0.390
7.933,190.316,0.396
7.956,190.188,0.402
7.978,190.060,0.409
8.000,189.932,0.769
