# Frequency,Velocity,Velstd 
#  coords,(12.8, 21.22),(0.45, 23.759999999999998)
2.000,424.777,0.769
2.022,422.441,0.409
2.044,420.143,0.402
2.067,417.882,0.396
2.089,415.657,0.390
2.111,413.467,0.388
2.133,411.312,0.388
2.156,409.190,0.388
2.178,407.101,0.388
2.200,405.043,0.388
2.222,403.016,0.388
2.244,401.020,0.388
2.267,399.053,0.388
2.289,397.115,0.388
2.311,395.204,0.388
2.333,393.321,0.388
2.356,391.465,0.388
2.378,389.635,0.388
2.400,387.830,0.388
2.422,386.050,0.388
2.444,384.295,0.388
2.467,382.563,0.388
2.489,380.855,0.388
2.511,379.169,0.388
2.533,377.505,0.388
2.556,375.864,0.388
2.578,374.243,0.388
2.600,372.643,0.388
2.622,371.064,0.388
2.644,369.505,0.388
2.667,367.965,0.388
2.689,366.444,0.388
2.711,364.942,0.388
2.733,363.458,0.388
2.756,361.993,0.388
2.778,360.545,0.388
2.800,359.114,0.388
2.822,357.700,0.388
2.844,356.303,0.388
2.867,354.922,0.388
2.889,353.557,0.388
2.911,352.208,0.388
2.933,350.874,0.388
2.956,349.555,0.388
2.978,348.251,0.388
3.000,346.961,0.388
3.022,345.686,0.388
3.044,344.424,0.388
3.067,343.177,0.388
3.089,341.943,0.388
3.111,340.722,0.388
3.133,339.514,0.388
3.156,338.319,0.388
3.178,337.136,0.388
3.200,335.966,0.388
3.222,334.808,0.388
3.244,333.662,0.388
3.267,332.527,0.388
3.289,331.404,0.388
3.311,330.293,0.388
3.333,329.192,0.388
3.356,328.103,0.388
3.378,327.024,0.388
3.400,325.956,0.388
3.422,324.898,0.388
3.444,323.851,0.388
3.467,322.813,0.388
3.489,321.786,0.388
3.511,320.768,0.388
3.533,319.760,0.388
3.556,318.761,0.388
3.578,317.772,0.388
3.600,316.792,0.388
3.622,315.820,0.388
3.644,314.858,0.388
3.667,313.905,0.388
3.689,312.960,0.388
3.711,312.024,0.388
3.733,311.096,0.388
3.756,310.176,0.388
3.778,309.264,0.388
3.800,308.361,0.388
3.822,307.465,0.388
3.844,306.577,0.388
3.867,305.697,0.388
3.889,304.824,0.388
3.911,303.959,0.388
3.933,303.101,0.388
3.956,302.250,0.388
3.978,301.406,0.388
4.000,300.570,0.388
4.022,299.740,0.388
4.044,298.918,0.388
4.067,298.101,0.388
4.089,297.292,0.388
4.111,296.489,0.388
4.133,295.693,0.388
4.156,294.903,0.388
4.178,294.119,0.388
4.200,293.342,0.388
4.222,292.571,0.388
4.244,291.806,0.388
4.267,291.047,0.388
4.289,290.294,0.388
4.311,289.546,0.388
4.333,288.805,0.388
4.356,288.069,0.388
4.378,287.338,0.388
4.400,286.614,0.388
4.422,285.894,0.388
4.444,285.180,0.388
4.467,284.472,0.388
4.489,283.769,0.388
4.511,283.071,0.388
4.533,282.378,0.388
4.556,281.690,0.388
4.578,281.007,0.388
4.600,280.329,0.388
4.622,279.657,0.388
